Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Eg.  
Vardas48            Pavarde48           5    10   7    3    9    8    8    1    10   1    4    
Vardas49            Pavarde49           6    9    2    8    5    6    2    7    7    7    3    
Vardas50            Pavarde50           7    1    10   1    10   10   5    10   7    2    7    
Vardas51            Pavarde51           9    10   4    4    6    5    2    6    2    8    7    
Vardas52            Pavarde52           2    3    10   1    6    10   3    4    9    6    10   
Vardas53            Pavarde53           10   9    9    8    9    5    3    8    10   8    4    
Vardas54            Pavarde54           1    2    1    6    3    10   5    8    9    1    5    
Vardas55            Pavarde55           4    8    2    3    2    3    8    3    8    6    3    
Vardas56            Pavarde56           10   7    10   3    8    5    10   10   2    7    1    
Vardas57            Pavarde57           3    5    9    7    9    2    6    8    8    6    6    
Vardas58            Pavarde58           7    6    5    2    5    9    10   2    3    3    9    
Vardas59            Pavarde59           1    6    6    8    10   8    10   1    7    1    6    
Vardas60            Pavarde60           2    2    8    3    5    4    4    8    9    6    10   
Vardas61            Pavarde61           4    5    7    4    7    5    5    4    2    4    3    
Vardas62            Pavarde62           7    9    7    6    6    8    1    6    4    2    6    
Vardas63            Pavarde63           5    7    7    4    6    6    7    4    10   9    9    
Vardas64            Pavarde64           2    1    5    4    6    5    7    6    9    9    1    
Vardas65            Pavarde65           3    1    6    8    4    6    2    4    8    9    6    
Vardas66            Pavarde66           7    6    1    7    4    3    5    2    3    7    6    
Vardas67            Pavarde67           2    1    6    1    6    9    8    10   4    5    6    
Vardas68            Pavarde68           2    3    6    8    7    10   4    10   9    4    5    
Vardas69            Pavarde69           9    10   10   10   6    8    8    3    7    10   3    
Vardas70            Pavarde70           5    3    5    3    7    5    3    3    6    5    2    
Vardas71            Pavarde71           7    1    3    10   8    1    8    8    7    5    3    
Vardas72            Pavarde72           7    5    7    6    1    9    6    9    2    4    1    
Vardas73            Pavarde73           7    3    10   6    6    4    2    9    1    9    10   
Vardas74            Pavarde74           5    2    9    2    8    5    1    9    8    6    4    
Vardas75            Pavarde75           2    3    5    5    2    1    10   2    10   7    10   
Vardas76            Pavarde76           9    9    3    6    7    5    9    6    4    6    6    
Vardas77            Pavarde77           8    4    2    6    6    2    6    7    2    3    5    
Vardas78            Pavarde78           7    7    1    2    3    5    10   5    6    3    10   
Vardas79            Pavarde79           9    2    5    10   2    10   1    7    8    5    7    
Vardas80            Pavarde80           1    1    4    3    8    1    3    4    3    2    8    
Vardas81            Pavarde81           1    3    5    1    6    10   7    4    3    10   8    
Vardas82            Pavarde82           4    9    8    6    3    2    7    8    10   5    4    
Vardas83            Pavarde83           2    9    3    6    3    5    9    4    6    1    8    
Vardas84            Pavarde84           4    4    6    4    4    1    4    3    1    7    1    
Vardas85            Pavarde85           1    3    9    10   4    5    10   6    9    3    7    
Vardas86            Pavarde86           3    5    6    7    6    5    8    8    7    1    4    
Vardas87            Pavarde87           1    5    5    8    1    7    1    9    10   6    2    
Vardas88            Pavarde88           3    1    3    8    9    9    8    8    2    2    7    
Vardas89            Pavarde89           1    2    8    9    7    1    4    6    8    5    6    
Vardas90            Pavarde90           10   10   10   1    4    3    4    1    9    2    2    
Vardas91            Pavarde91           5    9    6    9    6    6    7    8    1    3    6    
Vardas92            Pavarde92           10   5    6    2    9    4    7    7    4    2    4    
Vardas93            Pavarde93           6    7    4    8    2    10   5    10   8    4    8    
Vardas94            Pavarde94           3    7    4    9    7    6    7    5    10   9    2    
Vardas95            Pavarde95           3    8    4    8    10   10   1    5    1    6    10   
Vardas96            Pavarde96           1    6    7    1    1    6    3    5    5    6    6    
Vardas97            Pavarde97           6    3    10   1    7    6    9    8    8    9    9    
Vardas98            Pavarde98           5    8    6    7    8    5    3    3    7    6    4    
Vardas99            Pavarde99           9    8    7    6    10   3    3    3    9    9    7    
Vardas100           Pavarde100          8    8    5    2    10   1    4    10   1    4    1    
Vardas101           Pavarde101          9    6    9    5    8    2    5    8    10   8    10   
Vardas102           Pavarde102          1    10   9    10   10   6    5    6    8    10   4    
Vardas103           Pavarde103          3    5    9    3    5    7    6    3    2    9    7    
Vardas104           Pavarde104          5    8    8    8    1    7    4    8    9    3    1    
Vardas105           Pavarde105          4    5    6    2    1    1    7    7    8    3    5    
Vardas106           Pavarde106          6    10   5    5    1    10   1    5    10   1    5    
Vardas107           Pavarde107          1    10   9    10   3    6    8    1    5    4    3    
Vardas108           Pavarde108          1    10   4    4    5    10   10   8    1    10   3    
Vardas109           Pavarde109          3    7    6    3    8    4    6    8    5    3    1    
Vardas110           Pavarde110          9    9    5    6    10   8    4    2    5    5    3    
Vardas111           Pavarde111          9    10   7    6    5    2    3    8    1    9    8    
Vardas112           Pavarde112          6    8    5    3    6    2    1    10   1    2    9    
Vardas113           Pavarde113          6    10   2    7    9    9    8    9    10   3    10   
Vardas114           Pavarde114          1    4    7    1    3    6    4    5    7    1    10   
Vardas115           Pavarde115          3    2    4    2    6    2    1    3    10   3    10   
Vardas116           Pavarde116          3    2    8    4    6    2    8    6    9    1    2    
Vardas117           Pavarde117          4    7    9    7    9    7    4    10   9    10   2    
Vardas118           Pavarde118          6    8    10   10   9    2    5    2    3    1    2    
Vardas119           Pavarde119          6    10   2    6    8    3    3    7    6    10   3    
Vardas120           Pavarde120          7    2    2    10   3    10   5    5    4    7    8    
Vardas121           Pavarde121          1    7    10   9    2    2    2    6    9    7    4    
Vardas122           Pavarde122          2    9    3    7    6    7    10   7    8    10   5    
Vardas123           Pavarde123          7    9    4    5    3    6    10   8    9    1    8    
Vardas124           Pavarde124          5    4    8    1    10   6    3    10   1    3    1    
Vardas125           Pavarde125          10   8    3    6    7    2    8    2    2    5    9    
Vardas126           Pavarde126          6    10   5    8    6    10   2    6    3    8    3    
Vardas127           Pavarde127          4    6    8    2    2    1    7    4    7    2    7    
Vardas128           Pavarde128          1    6    5    10   1    9    3    6    10   9    10   
Vardas129           Pavarde129          4    6    9    10   5    6    2    1    9    5    8    
Vardas130           Pavarde130          2    6    7    5    1    3    4    6    10   2    9    
Vardas131           Pavarde131          5    8    1    7    8    7    4    10   6    1    1    
Vardas132           Pavarde132          5    8    9    4    4    10   5    2    7    2    5    
Vardas133           Pavarde133          5    9    4    2    7    5    1    10   3    6    4    
Vardas134           Pavarde134          4    2    10   5    2    8    4    5    10   4    7    
Vardas135           Pavarde135          10   4    8    8    4    10   7    3    1    7    10   
Vardas136           Pavarde136          9    5    5    3    7    4    4    5    7    7    8    
Vardas137           Pavarde137          5    2    8    9    10   3    6    6    1    3    8    
Vardas138           Pavarde138          4    8    5    7    4    9    3    2    2    6    10   
Vardas139           Pavarde139          6    3    3    6    7    3    10   4    9    5    1    
Vardas140           Pavarde140          5    5    7    10   8    5    10   7    3    6    10   
Vardas141           Pavarde141          8    9    5    10   7    3    3    7    9    1    7    
Vardas142           Pavarde142          10   6    6    9    2    2    6    2    3    5    7    
Vardas143           Pavarde143          7    5    2    6    5    7    9    5    2    9    6    
Vardas144           Pavarde144          1    10   3    1    9    2    8    4    5    1    5    
Vardas145           Pavarde145          1    9    7    6    2    3    4    3    10   2    5    
Vardas146           Pavarde146          10   10   7    5    8    9    7    7    6    6    10   
Vardas147           Pavarde147          1    6    5    8    4    8    2    10   3    7    10   
Vardas148           Pavarde148          8    1    8    3    1    4    7    10   9    7    10   
Vardas149           Pavarde149          10   4    6    4    4    2    9    3    8    1    8    
Vardas150           Pavarde150          2    4    8    9    2    1    3    7    7    2    9    
Vardas151           Pavarde151          5    3    3    4    6    6    4    8    7    7    8    
Vardas152           Pavarde152          3    6    5    5    6    2    1    10   1    10   10   
Vardas153           Pavarde153          7    3    3    3    10   4    7    4    2    2    10   
Vardas154           Pavarde154          2    5    8    7    4    3    3    2    10   1    3    
Vardas155           Pavarde155          1    2    6    9    6    7    4    10   1    1    7    
Vardas156           Pavarde156          9    9    10   4    7    7    9    10   1    4    1    
Vardas157           Pavarde157          8    2    1    10   7    10   6    1    2    8    7    
Vardas158           Pavarde158          1    9    7    10   10   4    1    7    5    9    6    
Vardas159           Pavarde159          3    9    3    2    3    5    5    8    9    3    10   
Vardas160           Pavarde160          3    6    9    4    1    1    1    4    1    8    10   
Vardas161           Pavarde161          1    4    7    7    4    3    5    1    7    4    3    
Vardas162           Pavarde162          3    1    5    10   6    10   5    9    4    9    7    
Vardas163           Pavarde163          5    3    5    8    7    5    3    3    2    6    7    
Vardas164           Pavarde164          10   3    8    5    6    3    4    5    5    2    6    
Vardas165           Pavarde165          5    4    9    1    7    8    7    10   8    1    10   
Vardas166           Pavarde166          9    7    9    5    1    1    8    1    4    2    4    
Vardas167           Pavarde167          4    4    4    1    5    3    4    3    6    3    10   
Vardas168           Pavarde168          5    4    10   7    10   3    8    10   5    2    9    
Vardas169           Pavarde169          8    5    10   1    1    7    2    10   4    8    6    
Vardas170           Pavarde170          3    8    8    3    3    1    3    8    4    3    8    
Vardas171           Pavarde171          5    3    5    7    5    5    6    9    7    2    4    
Vardas172           Pavarde172          4    6    4    6    2    10   4    7    9    10   6    
Vardas173           Pavarde173          7    7    8    5    2    9    8    2    2    10   3    
Vardas174           Pavarde174          7    1    6    3    9    9    5    5    10   5    9    
Vardas175           Pavarde175          3    4    4    5    7    1    5    8    3    1    5    
Vardas176           Pavarde176          8    5    8    2    2    6    4    9    3    10   1    
Vardas177           Pavarde177          4    1    3    2    9    9    7    8    5    4    5    
Vardas178           Pavarde178          6    10   1    3    5    2    3    4    5    1    9    
Vardas179           Pavarde179          6    3    4    1    5    3    4    8    6    1    8    
Vardas180           Pavarde180          9    2    1    6    5    1    7    7    6    9    9    
Vardas181           Pavarde181          3    6    1    3    4    10   10   1    6    3    5    
Vardas182           Pavarde182          2    7    4    3    4    5    4    8    9    10   4    
Vardas183           Pavarde183          3    6    1    10   9    8    4    2    4    1    3    
Vardas184           Pavarde184          6    5    6    9    9    4    6    6    6    6    2    
Vardas185           Pavarde185          5    9    3    7    2    9    4    4    9    3    7    
Vardas186           Pavarde186          2    7    4    2    2    2    8    8    6    9    1    
Vardas187           Pavarde187          3    5    5    6    1    5    2    1    2    9    6    
Vardas188           Pavarde188          7    9    5    3    9    9    6    9    8    6    6    
Vardas189           Pavarde189          5    6    10   9    9    5    5    10   2    1    6    
Vardas190           Pavarde190          3    10   8    2    10   9    3    10   7    5    3    
Vardas191           Pavarde191          3    7    8    7    7    10   3    10   4    3    3    
Vardas192           Pavarde192          7    3    6    1    7    1    1    8    1    10   3    
Vardas193           Pavarde193          7    4    8    4    2    4    2    7    9    9    4    
Vardas194           Pavarde194          6    1    4    10   5    9    5    10   8    1    3    
Vardas195           Pavarde195          8    3    7    4    8    4    4    9    3    6    9    
Vardas196           Pavarde196          4    1    7    7    4    4    6    9    8    10   5    
Vardas197           Pavarde197          7    4    3    4    8    6    2    2    3    6    1    
Vardas198           Pavarde198          3    9    3    5    8    3    6    6    2    1    9    
Vardas199           Pavarde199          9    1    8    9    4    10   1    6    1    7    1    
Vardas200           Pavarde200          10   10   6    5    3    10   10   1    5    3    6    
Vardas201           Pavarde201          5    8    5    3    5    6    9    2    5    1    3    
Vardas202           Pavarde202          5    8    9    3    2    9    1    2    5    2    6    
Vardas203           Pavarde203          7    8    2    4    9    3    5    5    6    3    10   
Vardas204           Pavarde204          9    8    6    10   10   9    9    4    4    7    6    
Vardas205           Pavarde205          6    7    3    8    4    1    7    6    4    10   7    
Vardas206           Pavarde206          9    2    9    3    3    8    10   4    1    9    4    
Vardas207           Pavarde207          6    9    5    4    10   6    2    8    9    3    1    
Vardas208           Pavarde208          4    4    1    9    6    10   5    7    10   6    8    
Vardas209           Pavarde209          6    8    5    5    9    5    2    2    2    7    10   
Vardas210           Pavarde210          4    3    2    8    6    9    7    4    3    3    4    
Vardas211           Pavarde211          7    5    9    6    4    6    2    4    10   9    8    
Vardas212           Pavarde212          8    3    1    9    10   8    7    5    9    6    3    
Vardas213           Pavarde213          9    9    6    8    5    2    4    2    1    8    8    
Vardas214           Pavarde214          9    1    10   5    2    10   6    4    5    5    10   
Vardas215           Pavarde215          7    7    4    3    9    6    3    2    10   3    8    
Vardas216           Pavarde216          5    6    1    5    1    9    10   2    6    4    6    
Vardas217           Pavarde217          7    6    8    4    4    1    3    4    10   6    6    
Vardas218           Pavarde218          5    10   4    3    10   4    3    1    4    4    9    
Vardas219           Pavarde219          8    4    3    1    4    9    8    2    3    4    9    
Vardas220           Pavarde220          7    1    3    4    5    5    6    3    9    4    1    
Vardas221           Pavarde221          8    7    8    1    2    10   7    7    7    7    1    
Vardas222           Pavarde222          6    1    3    2    2    1    4    3    1    6    6    
Vardas223           Pavarde223          6    2    1    3    6    4    10   3    9    10   9    
Vardas224           Pavarde224          4    1    2    7    2    7    4    6    2    2    3    
Vardas225           Pavarde225          2    1    7    1    10   9    1    8    7    5    2    
Vardas226           Pavarde226          6    4    8    6    1    2    4    2    8    2    5    
Vardas227           Pavarde227          10   6    10   9    9    8    8    2    1    8    7    
Vardas228           Pavarde228          7    3    10   2    5    7    7    10   4    3    6    
Vardas229           Pavarde229          5    2    9    7    10   10   6    4    2    10   7    
Vardas230           Pavarde230          4    6    3    1    8    5    1    10   2    8    3    
Vardas231           Pavarde231          4    1    1    1    8    9    6    9    6    9    1    
Vardas232           Pavarde232          3    4    9    7    1    3    7    3    4    7    5    
Vardas233           Pavarde233          7    6    6    1    2    1    1    2    6    5    2    
Vardas234           Pavarde234          5    2    1    6    5    8    8    1    1    8    3    
Vardas235           Pavarde235          8    7    10   9    3    7    7    3    10   1    3    
Vardas236           Pavarde236          7    10   8    6    10   10   7    2    4    4    6    
Vardas237           Pavarde237          6    8    9    10   8    4    2    7    8    10   1    
Vardas238           Pavarde238          9    1    5    10   8    3    3    8    9    10   10   
Vardas239           Pavarde239          7    6    7    3    8    5    2    9    3    5    8    
Vardas240           Pavarde240          6    6    9    10   8    8    1    6    5    9    10   
Vardas241           Pavarde241          2    1    8    7    6    4    10   7    1    2    10   
Vardas242           Pavarde242          4    8    10   10   7    8    8    9    8    4    3    
Vardas243           Pavarde243          9    1    9    6    7    9    10   8    5    7    8    
Vardas244           Pavarde244          8    6    1    4    2    6    10   10   4    8    4    
Vardas245           Pavarde245          5    10   10   5    1    8    4    8    2    9    6    
Vardas246           Pavarde246          9    7    1    7    2    6    7    5    3    8    9    
Vardas247           Pavarde247          1    10   10   1    5    8    1    8    8    1    7    
Vardas248           Pavarde248          7    2    10   4    7    5    2    1    8    10   2    
Vardas249           Pavarde249          2    3    7    9    10   7    9    5    2    2    7    
Vardas250           Pavarde250          8    5    3    1    10   5    8    2    9    3    4    
Vardas251           Pavarde251          10   6    8    3    8    1    10   7    2    2    10   
Vardas252           Pavarde252          8    5    8    3    10   8    3    7    3    6    2    
Vardas253           Pavarde253          3    7    4    5    1    6    8    4    9    5    1    
Vardas254           Pavarde254          2    2    6    1    10   8    6    2    4    10   6    
Vardas255           Pavarde255          3    10   10   10   1    9    8    6    4    8    4    
Vardas256           Pavarde256          1    3    3    5    8    4    3    2    6    10   5    
Vardas257           Pavarde257          8    2    7    8    9    10   2    9    8    2    6    
Vardas258           Pavarde258          1    3    7    1    6    3    1    2    7    3    10   
Vardas259           Pavarde259          4    7    10   5    8    1    3    7    1    2    2    
Vardas260           Pavarde260          6    8    8    8    3    4    10   3    8    8    4    
Vardas261           Pavarde261          5    4    5    2    7    1    9    2    1    10   6    
Vardas262           Pavarde262          5    10   2    3    6    2    7    2    4    5    8    
Vardas263           Pavarde263          9    8    3    8    2    6    6    7    6    9    5    
Vardas264           Pavarde264          3    8    6    4    2    7    6    5    2    3    4    
Vardas265           Pavarde265          4    1    3    6    5    4    7    7    8    9    10   
Vardas266           Pavarde266          9    5    9    7    6    8    7    4    1    7    10   
Vardas267           Pavarde267          9    7    3    2    6    10   8    8    9    6    9    
Vardas268           Pavarde268          7    4    8    2    7    5    2    5    10   7    6    
Vardas269           Pavarde269          7    1    2    1    9    7    10   5    10   8    9    
Vardas270           Pavarde270          2    3    10   8    4    8    5    3    4    9    10   
Vardas271           Pavarde271          2    6    3    5    2    3    3    9    9    8    7    
Vardas272           Pavarde272          10   1    8    3    5    5    7    2    7    3    8    
Vardas273           Pavarde273          2    10   2    3    5    5    3    1    1    8    8    
Vardas274           Pavarde274          7    1    6    6    9    3    8    6    10   6    5    
Vardas275           Pavarde275          6    10   2    3    1    8    8    5    1    9    1    
Vardas276           Pavarde276          4    10   1    6    7    1    8    2    5    10   4    
Vardas277           Pavarde277          5    8    2    10   9    9    8    9    4    10   3    
Vardas278           Pavarde278          1    8    4    2    10   1    4    7    10   5    4    
Vardas279           Pavarde279          4    10   2    7    8    6    4    3    8    6    10   
Vardas280           Pavarde280          1    9    6    4    2    8    6    8    2    3    8    
Vardas281           Pavarde281          1    1    7    6    1    6    3    5    10   9    7    
Vardas282           Pavarde282          9    7    10   4    3    2    10   3    2    3    1    
Vardas283           Pavarde283          7    3    9    8    6    6    3    9    5    2    10   
Vardas284           Pavarde284          10   9    6    7    4    4    5    6    3    10   2    
Vardas285           Pavarde285          8    2    9    10   9    1    2    7    8    7    2    
Vardas286           Pavarde286          2    2    10   2    10   5    2    1    6    10   2    
Vardas287           Pavarde287          2    9    8    3    2    2    1    8    7    5    6    
Vardas288           Pavarde288          3    2    1    1    4    7    8    3    4    5    5    
Vardas289           Pavarde289          2    6    5    2    1    10   5    5    8    1    8    
Vardas290           Pavarde290          2    4    3    3    7    2    5    10   10   1    1    
Vardas291           Pavarde291          3    7    5    6    8    5    6    6    4    8    2    
Vardas292           Pavarde292          7    9    9    4    2    7    9    8    1    9    8    
Vardas293           Pavarde293          1    1    8    1    3    4    5    10   10   8    1    
Vardas294           Pavarde294          10   9    6    8    7    2    4    9    4    4    7    
Vardas295           Pavarde295          9    4    8    5    7    5    9    2    3    8    8    
Vardas296           Pavarde296          5    2    1    4    9    10   5    2    9    4    7    
Vardas297           Pavarde297          2    8    7    10   10   2    10   1    10   10   5    
Vardas298           Pavarde298          10   8    1    6    7    7    10   9    9    2    9    
Vardas299           Pavarde299          5    6    10   8    5    6    7    3    4    1    3    
Vardas300           Pavarde300          2    5    8    7    2    6    8    7    2    9    2    
Vardas301           Pavarde301          7    5    7    10   9    7    2    8    8    7    5    
Vardas302           Pavarde302          2    4    5    2    5    8    4    10   6    8    3    
Vardas303           Pavarde303          6    10   3    4    6    6    10   1    4    10   7    
Vardas304           Pavarde304          9    8    6    6    3    10   9    1    1    3    4    
Vardas305           Pavarde305          2    9    5    7    2    3    8    1    2    8    3    
Vardas306           Pavarde306          9    6    4    5    6    4    6    10   3    1    3    
Vardas307           Pavarde307          5    4    10   4    5    1    1    9    3    9    8    
Vardas308           Pavarde308          1    8    1    9    4    3    10   4    5    3    7    
Vardas309           Pavarde309          3    3    8    7    7    7    8    5    9    9    7    
Vardas310           Pavarde310          7    8    2    1    9    8    9    1    10   7    3    
Vardas311           Pavarde311          1    6    1    5    7    2    6    9    6    6    3    
Vardas312           Pavarde312          1    2    1    3    7    8    9    4    9    2    4    
Vardas313           Pavarde313          6    8    7    4    9    2    3    10   10   6    3    
Vardas314           Pavarde314          3    3    10   6    5    6    8    10   1    10   1    
Vardas315           Pavarde315          6    1    8    3    6    9    7    3    6    4    1    
Vardas316           Pavarde316          4    6    7    7    4    6    2    4    6    5    4    
Vardas317           Pavarde317          4    1    7    10   9    8    3    8    1    10   3    
Vardas318           Pavarde318          8    2    5    9    8    8    5    8    5    10   6    
Vardas319           Pavarde319          6    3    4    5    7    7    4    9    1    4    1    
Vardas320           Pavarde320          6    8    2    6    1    4    10   3    8    2    3    
Vardas321           Pavarde321          3    3    1    3    10   5    6    2    7    8    1    
Vardas322           Pavarde322          5    3    3    4    4    6    5    7    3    2    10   
Vardas323           Pavarde323          1    8    2    9    10   4    1    9    1    4    1    
Vardas324           Pavarde324          5    6    9    3    3    9    2    5    2    1    7    
Vardas325           Pavarde325          1    8    3    6    2    10   10   10   10   3    1    
Vardas326           Pavarde326          3    4    6    3    7    5    7    8    5    2    3    
Vardas327           Pavarde327          5    1    8    4    9    10   5    2    9    10   2    
Vardas328           Pavarde328          2    6    7    9    6    10   9    6    2    10   3    
Vardas329           Pavarde329          8    8    1    8    5    8    8    8    2    6    8    
Vardas330           Pavarde330          1    6    4    2    1    5    2    6    2    3    1    
Vardas331           Pavarde331          8    6    8    6    1    7    2    6    6    9    8    
Vardas332           Pavarde332          10   8    2    10   9    5    5    8    9    5    2    
Vardas333           Pavarde333          3    7    9    6    8    3    9    5    5    10   8    
Vardas334           Pavarde334          2    4    4    2    5    1    1    10   5    7    10   
Vardas335           Pavarde335          7    8    7    5    3    9    9    6    7    2    8    
Vardas336           Pavarde336          3    10   8    10   1    5    6    4    3    4    6    
Vardas337           Pavarde337          7    7    1    1    1    5    2    2    6    9    6    
Vardas338           Pavarde338          2    5    2    3    8    6    4    4    7    4    6    
Vardas339           Pavarde339          5    8    4    2    1    4    1    3    8    7    9    
Vardas340           Pavarde340          10   8    2    2    5    3    4    1    8    1    9    
Vardas341           Pavarde341          6    9    4    9    5    1    7    2    1    8    5    
Vardas342           Pavarde342          7    7    10   10   7    6    6    10   6    2    3    
Vardas343           Pavarde343          8    2    9    8    5    6    1    7    5    8    1    
Vardas344           Pavarde344          10   8    6    1    7    10   10   10   9    3    5    
Vardas345           Pavarde345          5    5    5    5    8    7    6    8    8    6    3    
Vardas346           Pavarde346          2    8    4    6    9    5    6    10   8    4    9    
Vardas347           Pavarde347          2    3    8    2    9    3    10   4    9    7    7    
Vardas348           Pavarde348          7    1    9    4    8    9    3    5    9    10   4    
Vardas349           Pavarde349          5    4    9    1    7    7    7    6    4    4    9    
Vardas350           Pavarde350          5    6    8    1    1    3    3    3    4    2    8    
Vardas351           Pavarde351          2    9    2    5    8    4    3    10   1    1    6    
Vardas352           Pavarde352          10   8    9    8    10   8    7    8    1    4    1    
Vardas353           Pavarde353          5    2    6    9    4    10   9    1    10   2    4    
Vardas354           Pavarde354          2    1    1    5    7    4    10   4    4    10   8    
Vardas355           Pavarde355          2    7    9    2    9    6    10   3    7    5    2    
Vardas356           Pavarde356          8    7    10   3    3    9    5    3    6    3    4    
Vardas357           Pavarde357          1    8    10   6    2    7    2    8    8    2    5    
Vardas358           Pavarde358          4    2    7    7    8    7    8    1    7    7    3    
Vardas359           Pavarde359          8    2    1    8    6    7    7    2    10   3    7    
Vardas360           Pavarde360          1    6    6    6    1    3    2    9    10   9    10   
Vardas361           Pavarde361          3    3    10   6    1    1    4    4    6    8    9    
Vardas362           Pavarde362          4    9    1    1    4    2    9    4    2    8    7    
Vardas363           Pavarde363          5    6    9    8    9    7    5    2    9    2    7    
Vardas364           Pavarde364          6    7    10   1    5    2    4    6    9    7    9    
Vardas365           Pavarde365          7    10   10   5    2    10   1    6    2    2    7    
Vardas366           Pavarde366          10   2    10   9    2    2    8    7    9    9    10   
Vardas367           Pavarde367          8    5    6    6    4    10   8    4    6    8    4    
Vardas368           Pavarde368          3    5    7    9    5    9    1    2    6    7    6    
Vardas369           Pavarde369          3    3    6    5    1    8    7    4    8    5    1    
Vardas370           Pavarde370          8    4    4    6    3    4    1    8    2    10   1    
Vardas371           Pavarde371          10   10   5    4    2    3    3    1    5    5    10   
Vardas372           Pavarde372          9    5    1    1    9    2    8    7    7    3    10   
Vardas373           Pavarde373          6    3    6    10   1    10   8    1    4    4    8    
Vardas374           Pavarde374          9    10   4    7    1    5    7    4    5    8    2    
Vardas375           Pavarde375          3    9    6    3    8    1    6    8    8    8    1    
Vardas376           Pavarde376          7    1    8    6    6    10   7    1    7    6    7    
Vardas377           Pavarde377          8    9    2    9    7    10   10   5    8    4    5    
Vardas378           Pavarde378          10   1    2    7    8    5    6    4    1    5    10   
Vardas379           Pavarde379          3    6    1    4    2    5    3    5    6    3    3    
Vardas380           Pavarde380          8    7    10   6    2    5    5    10   1    4    5    
Vardas381           Pavarde381          1    8    8    7    3    10   10   4    1    10   6    
Vardas382           Pavarde382          9    10   8    5    7    5    4    8    10   1    9    
Vardas383           Pavarde383          7    1    6    6    4    1    7    6    1    1    4    
Vardas384           Pavarde384          5    3    9    1    10   9    5    2    10   5    3    
Vardas385           Pavarde385          2    9    8    2    10   2    2    10   3    3    1    
