Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 
Vardas34            Pavarde34           7    3    1    7    4    3    1    10   4    4    
Vardas35            Pavarde35           8    10   6    1    3    3    3    4    7    1    
Vardas36            Pavarde36           2    4    5    3    3    4    2    7    5    1    
Vardas37            Pavarde37           7    1    1    10   2    6    9    4    9    3    
Vardas38            Pavarde38           9    5    3    4    5    6    3    7    10   9    
Vardas39            Pavarde39           4    3    10   8    9    6    5    7    6    8    
Vardas40            Pavarde40           5    5    7    1    10   7    10   2    8    3    
Vardas41            Pavarde41           6    2    2    2    7    10   6    4    2    3    
Vardas42            Pavarde42           3    3    10   9    7    6    9    9    7    5    
Vardas43            Pavarde43           9    2    10   4    2    4    8    10   4    1    
Vardas44            Pavarde44           5    6    8    4    6    2    7    5    8    3    
Vardas45            Pavarde45           10   5    5    3    10   5    2    5    9    10   
Vardas46            Pavarde46           4    3    4    1    5    9    7    9    8    1    
Vardas47            Pavarde47           5    3    5    10   1    7    10   6    8    2    
Vardas48            Pavarde48           2    2    7    6    9    4    5    10   2    2    
Vardas49            Pavarde49           9    9    6    10   6    1    3    6    10   9    
Vardas50            Pavarde50           10   6    9    5    7    6    2    9    9    4    
Vardas51            Pavarde51           6    8    6    1    6    5    8    8    7    1    
Vardas52            Pavarde52           6    7    2    5    8    9    7    7    1    1    
Vardas53            Pavarde53           8    6    1    1    9    6    7    5    9    7    
Vardas54            Pavarde54           6    10   8    3    5    9    7    4    7    8    
Vardas55            Pavarde55           3    9    9    9    2    10   4    6    7    5    
Vardas56            Pavarde56           4    7    9    4    10   3    4    3    3    7    
Vardas57            Pavarde57           3    9    4    3    9    7    9    7    7    9    
Vardas58            Pavarde58           10   7    3    2    5    10   9    4    9    7    
Vardas59            Pavarde59           2    9    2    9    3    7    8    3    2    10   
Vardas60            Pavarde60           4    2    9    3    6    4    6    4    4    3    
Vardas61            Pavarde61           1    7    2    5    8    8    9    3    7    9    
Vardas62            Pavarde62           4    5    2    4    8    2    4    7    8    10   
Vardas63            Pavarde63           4    1    3    2    5    10   6    4    2    8    
Vardas64            Pavarde64           1    2    9    6    10   4    2    9    5    9    
Vardas65            Pavarde65           8    2    10   5    10   8    6    7    4    7    
Vardas66            Pavarde66           8    2    10   1    2    1    3    4    1    1    
Vardas67            Pavarde67           3    1    7    9    9    8    1    7    2    3    
Vardas68            Pavarde68           7    4    2    10   2    10   6    7    9    4    
Vardas69            Pavarde69           1    6    1    5    6    5    3    3    5    10   
Vardas70            Pavarde70           2    4    6    3    4    4    2    2    10   3    
Vardas71            Pavarde71           3    4    3    5    1    3    5    8    5    6    
Vardas72            Pavarde72           3    1    7    2    3    2    2    9    7    2    
Vardas73            Pavarde73           1    4    6    10   7    2    4    6    9    8    
Vardas74            Pavarde74           8    1    3    8    3    6    1    3    10   10   
Vardas75            Pavarde75           7    4    3    5    6    5    5    6    1    9    
Vardas76            Pavarde76           4    6    2    8    4    1    6    8    8    4    
Vardas77            Pavarde77           8    10   6    4    1    10   10   8    8    2    
Vardas78            Pavarde78           9    10   3    7    6    7    4    6    9    4    
Vardas79            Pavarde79           3    1    5    7    8    9    9    7    3    8    
Vardas80            Pavarde80           6    10   4    5    1    4    1    7    9    10   
Vardas81            Pavarde81           5    5    5    3    9    3    9    10   4    7    
Vardas82            Pavarde82           8    4    5    3    5    4    3    3    10   3    
Vardas83            Pavarde83           2    9    7    9    1    5    2    3    1    7    
Vardas84            Pavarde84           1    1    8    2    1    10   9    1    9    10   
Vardas85            Pavarde85           8    6    1    10   3    6    3    8    3    6    
Vardas86            Pavarde86           10   8    7    8    10   7    1    6    5    10   
Vardas87            Pavarde87           10   4    2    3    1    1    8    9    2    9    
Vardas88            Pavarde88           8    7    2    4    5    4    2    5    2    4    
Vardas89            Pavarde89           2    1    4    3    2    5    10   9    2    7    
Vardas90            Pavarde90           9    10   10   7    7    10   2    1    1    7    
Vardas91            Pavarde91           6    3    9    5    2    5    3    7    6    10   
Vardas92            Pavarde92           6    4    8    10   6    9    3    8    6    6    
Vardas93            Pavarde93           8    7    7    9    3    4    1    1    9    9    
Vardas94            Pavarde94           5    2    10   5    8    6    4    9    9    7    
Vardas95            Pavarde95           1    5    8    2    1    3    3    6    3    4    
Vardas96            Pavarde96           3    4    3    6    4    10   3    1    7    7    
Vardas97            Pavarde97           10   7    1    3    9    4    3    10   1    9    
Vardas98            Pavarde98           10   10   4    4    10   9    3    3    4    10   
Vardas99            Pavarde99           8    6    4    2    9    4    1    8    6    9    
Vardas100           Pavarde100          8    1    1    5    10   3    3    8    3    6    
Vardas101           Pavarde101          8    4    1    10   2    8    9    10   4    5    
Vardas102           Pavarde102          10   2    2    3    5    2    5    1    5    5    
Vardas103           Pavarde103          9    4    7    1    3    2    5    8    9    7    
Vardas104           Pavarde104          7    7    3    3    7    8    9    3    1    10   
Vardas105           Pavarde105          10   7    10   1    7    5    5    1    9    4    
Vardas106           Pavarde106          5    6    10   6    7    4    10   8    6    5    
Vardas107           Pavarde107          4    10   3    2    9    3    10   2    4    9    
Vardas108           Pavarde108          3    5    8    7    5    1    9    8    8    4    
Vardas109           Pavarde109          2    9    3    1    10   2    4    3    2    5    
Vardas110           Pavarde110          4    1    5    10   1    5    10   1    8    2    
Vardas111           Pavarde111          1    5    8    3    2    4    6    5    4    10   
Vardas112           Pavarde112          4    1    3    2    4    5    1    6    1    2    
Vardas113           Pavarde113          1    5    8    2    1    7    6    3    4    8    
Vardas114           Pavarde114          7    10   8    2    2    6    4    4    7    3    
Vardas115           Pavarde115          10   5    4    9    4    8    3    5    6    3    
Vardas116           Pavarde116          3    9    3    5    7    3    8    3    6    8    
Vardas117           Pavarde117          7    9    9    1    9    10   6    6    10   1    
Vardas118           Pavarde118          7    4    8    9    5    1    3    7    3    7    
Vardas119           Pavarde119          9    7    1    7    4    10   10   9    3    5    
Vardas120           Pavarde120          6    6    5    9    3    6    2    5    2    3    
Vardas121           Pavarde121          6    1    6    3    8    10   6    5    4    2    
Vardas122           Pavarde122          5    6    10   4    8    5    10   2    1    4    
Vardas123           Pavarde123          4    1    6    1    4    4    3    1    7    2    
Vardas124           Pavarde124          1    4    5    3    2    8    10   2    4    4    
Vardas125           Pavarde125          5    2    2    5    4    9    9    4    3    1    
Vardas126           Pavarde126          5    3    5    9    2    4    10   4    10   3    
Vardas127           Pavarde127          8    1    3    2    10   8    4    6    3    7    
Vardas128           Pavarde128          5    3    7    4    9    4    3    8    3    8    
Vardas129           Pavarde129          9    5    10   4    5    10   9    1    10   9    
Vardas130           Pavarde130          5    7    5    4    7    2    9    7    7    10   
Vardas131           Pavarde131          9    8    2    8    6    6    1    9    4    9    
Vardas132           Pavarde132          10   1    9    9    9    2    3    10   4    10   
Vardas133           Pavarde133          6    10   3    5    4    9    2    4    9    7    
Vardas134           Pavarde134          9    7    10   6    4    2    10   7    1    10   
Vardas135           Pavarde135          3    7    5    9    7    2    4    6    8    1    
Vardas136           Pavarde136          9    2    9    8    1    4    10   1    5    9    
Vardas137           Pavarde137          10   5    4    9    10   4    10   4    7    4    
Vardas138           Pavarde138          9    7    5    9    6    7    7    6    4    4    
Vardas139           Pavarde139          5    6    6    4    8    3    8    4    1    1    
Vardas140           Pavarde140          1    5    6    8    5    4    2    8    3    10   
Vardas141           Pavarde141          7    5    2    10   4    3    8    5    9    5    
Vardas142           Pavarde142          6    7    6    9    6    10   6    9    5    10   
Vardas143           Pavarde143          7    1    5    7    5    9    6    1    6    10   
Vardas144           Pavarde144          4    10   6    2    3    3    8    7    7    7    
Vardas145           Pavarde145          9    1    5    5    5    3    3    3    2    6    
Vardas146           Pavarde146          5    5    8    3    4    10   5    7    8    7    
Vardas147           Pavarde147          10   3    4    7    10   2    7    10   7    7    
Vardas148           Pavarde148          6    9    7    2    4    7    3    2    6    2    
Vardas149           Pavarde149          2    3    9    9    6    3    2    6    10   8    
Vardas150           Pavarde150          4    2    5    5    4    2    3    9    7    5    
Vardas151           Pavarde151          9    3    10   8    5    1    9    8    4    2    
Vardas152           Pavarde152          2    7    3    10   1    3    8    10   6    10   
Vardas153           Pavarde153          1    2    3    9    1    6    1    3    3    5    
Vardas154           Pavarde154          7    4    1    2    7    10   10   3    7    10   
Vardas155           Pavarde155          2    6    10   3    2    1    4    10   3    1    
Vardas156           Pavarde156          3    10   2    4    4    9    4    3    3    9    
Vardas157           Pavarde157          7    7    9    3    1    3    2    3    2    2    
Vardas158           Pavarde158          4    4    5    10   9    10   7    5    3    6    
Vardas159           Pavarde159          5    10   10   7    8    4    6    2    4    3    
Vardas160           Pavarde160          5    5    5    4    10   4    10   6    1    7    
Vardas161           Pavarde161          1    8    8    1    1    2    3    7    9    3    
Vardas162           Pavarde162          9    3    9    9    10   6    8    6    4    9    
Vardas163           Pavarde163          3    10   6    6    8    6    2    10   10   1    
Vardas164           Pavarde164          9    1    1    2    8    7    8    1    7    7    
Vardas165           Pavarde165          10   9    5    2    5    6    10   9    8    7    
Vardas166           Pavarde166          10   1    4    8    7    6    1    3    4    8    
Vardas167           Pavarde167          2    6    10   10   6    4    5    5    10   1    
Vardas168           Pavarde168          5    10   4    7    1    10   5    3    7    1    
Vardas169           Pavarde169          2    7    5    6    2    7    5    1    5    1    
Vardas170           Pavarde170          5    7    4    2    3    6    2    8    5    10   
Vardas171           Pavarde171          8    4    4    9    7    10   10   2    3    5    
Vardas172           Pavarde172          1    9    7    1    3    1    3    3    9    2    
Vardas173           Pavarde173          9    8    8    9    2    8    3    2    7    5    
Vardas174           Pavarde174          4    10   6    7    2    8    5    4    4    3    
Vardas175           Pavarde175          3    7    3    9    2    7    9    9    4    9    
Vardas176           Pavarde176          6    8    9    9    2    8    2    6    7    5    
Vardas177           Pavarde177          1    7    9    4    4    5    4    8    7    5    
Vardas178           Pavarde178          8    3    3    9    1    8    7    5    9    6    
Vardas179           Pavarde179          7    6    4    6    8    1    2    1    7    8    
Vardas180           Pavarde180          8    9    4    6    3    6    2    10   7    8    
Vardas181           Pavarde181          1    7    4    10   8    3    1    9    3    4    
Vardas182           Pavarde182          9    4    8    10   4    10   10   4    10   3    
Vardas183           Pavarde183          7    4    4    1    1    5    2    3    6    8    
Vardas184           Pavarde184          4    1    10   3    3    3    10   8    2    2    
Vardas185           Pavarde185          6    8    5    8    5    9    5    5    10   8    
Vardas186           Pavarde186          1    10   1    5    10   3    10   7    7    4    
Vardas187           Pavarde187          4    4    2    3    9    2    4    5    10   8    
Vardas188           Pavarde188          9    3    6    2    2    7    6    10   4    6    
Vardas189           Pavarde189          4    7    5    5    10   5    2    6    3    10   
Vardas190           Pavarde190          3    9    8    10   9    6    8    10   7    10   
Vardas191           Pavarde191          9    3    2    3    1    4    2    2    2    5    
Vardas192           Pavarde192          10   7    7    10   5    1    4    4    2    3    
Vardas193           Pavarde193          2    10   5    5    2    4    2    2    7    1    
Vardas194           Pavarde194          1    7    3    10   1    3    1    2    4    5    
Vardas195           Pavarde195          7    8    8    10   3    8    1    4    5    7    
Vardas196           Pavarde196          9    4    7    9    8    6    4    2    5    1    
Vardas197           Pavarde197          2    3    2    5    8    5    7    6    4    7    
Vardas198           Pavarde198          1    2    10   2    5    2    5    4    2    7    
Vardas199           Pavarde199          7    3    10   10   1    5    10   7    7    7    
Vardas200           Pavarde200          8    7    5    3    7    8    6    5    8    1    
Vardas201           Pavarde201          8    3    3    5    2    3    2    2    9    9    
Vardas202           Pavarde202          7    7    8    8    6    4    1    7    9    5    
Vardas203           Pavarde203          1    5    8    8    3    1    2    1    5    4    
Vardas204           Pavarde204          1    6    1    2    4    3    3    3    6    3    
Vardas205           Pavarde205          10   10   4    4    3    6    10   4    5    6    
Vardas206           Pavarde206          2    2    6    8    4    4    10   1    10   7    
Vardas207           Pavarde207          8    4    1    5    4    4    8    2    8    1    
Vardas208           Pavarde208          9    5    6    6    8    3    9    8    4    6    
Vardas209           Pavarde209          6    4    7    3    4    7    4    7    1    2    
Vardas210           Pavarde210          4    4    1    8    7    3    3    8    7    8    
Vardas211           Pavarde211          2    8    2    2    8    4    3    5    10   2    
Vardas212           Pavarde212          6    3    10   9    5    9    9    9    2    2    
Vardas213           Pavarde213          10   1    9    6    3    4    10   9    3    1    
Vardas214           Pavarde214          6    3    2    4    8    2    8    9    8    4    
Vardas215           Pavarde215          5    10   8    3    3    4    5    6    4    8    
Vardas216           Pavarde216          7    2    4    2    6    4    6    2    7    3    
Vardas217           Pavarde217          9    1    4    10   3    1    2    5    8    3    
Vardas218           Pavarde218          3    7    10   8    5    8    9    9    8    1    
Vardas219           Pavarde219          6    4    9    1    5    7    6    8    1    9    
Vardas220           Pavarde220          9    2    3    10   4    5    9    9    5    1    
Vardas221           Pavarde221          2    2    3    10   7    7    7    4    6    6    
Vardas222           Pavarde222          9    3    3    8    3    10   10   9    6    6    
Vardas223           Pavarde223          10   1    7    1    5    4    4    4    9    8    
Vardas224           Pavarde224          6    10   8    3    9    1    6    8    8    2    
Vardas225           Pavarde225          8    8    5    6    4    2    1    2    1    6    
Vardas226           Pavarde226          10   10   10   4    7    8    4    4    3    5    
Vardas227           Pavarde227          3    3    2    8    1    8    4    10   1    4    
Vardas228           Pavarde228          6    6    7    7    1    2    1    8    9    7    
Vardas229           Pavarde229          3    2    1    5    5    1    2    8    4    9    
Vardas230           Pavarde230          8    5    1    5    9    3    10   7    3    6    
Vardas231           Pavarde231          7    10   5    9    2    4    5    4    6    7    
Vardas232           Pavarde232          8    8    8    1    10   5    4    9    6    6    
Vardas233           Pavarde233          4    1    6    7    3    6    10   4    9    3    
Vardas234           Pavarde234          10   9    10   5    8    10   9    3    6    9    
Vardas235           Pavarde235          3    5    9    3    7    6    8    1    5    6    
Vardas236           Pavarde236          5    8    2    10   4    8    9    8    2    8    
Vardas237           Pavarde237          9    2    10   3    5    2    7    5    7    8    
Vardas238           Pavarde238          3    4    6    2    2    5    4    10   6    4    
Vardas239           Pavarde239          3    10   6    6    7    6    6    2    9    8    
Vardas240           Pavarde240          6    8    2    3    1    3    7    2    5    9    
Vardas241           Pavarde241          7    10   1    6    7    1    9    7    1    2    
Vardas242           Pavarde242          3    10   6    5    6    7    9    10   7    3    
Vardas243           Pavarde243          3    4    5    10   4    4    10   10   2    10   
Vardas244           Pavarde244          1    5    7    7    5    1    8    8    3    7    
Vardas245           Pavarde245          8    1    6    6    4    9    1    2    4    6    
Vardas246           Pavarde246          7    2    1    4    8    4    3    7    3    2    
Vardas247           Pavarde247          4    2    6    3    7    9    4    5    8    4    
Vardas248           Pavarde248          6    6    9    6    5    5    5    8    4    6    
Vardas249           Pavarde249          4    4    4    8    2    9    10   1    7    7    
Vardas250           Pavarde250          1    8    7    10   9    2    10   3    9    1    
Vardas251           Pavarde251          1    7    7    3    6    10   3    5    3    6    
Vardas252           Pavarde252          9    5    6    5    1    5    4    5    8    4    
Vardas253           Pavarde253          7    8    1    3    9    7    9    9    9    3    
Vardas254           Pavarde254          5    8    4    7    3    6    7    2    10   9    
Vardas255           Pavarde255          2    6    10   10   6    2    5    2    9    6    
Vardas256           Pavarde256          1    10   3    6    3    5    3    6    1    4    
Vardas257           Pavarde257          8    5    2    6    2    3    5    6    9    3    
Vardas258           Pavarde258          6    10   8    9    6    4    5    1    9    10   
Vardas259           Pavarde259          1    9    7    9    10   4    10   1    10   6    
Vardas260           Pavarde260          4    4    2    2    5    10   1    7    10   8    
Vardas261           Pavarde261          2    5    6    4    8    2    8    1    3    10   
Vardas262           Pavarde262          10   5    6    5    1    3    3    4    2    3    
Vardas263           Pavarde263          10   1    10   2    5    2    8    5    9    7    
Vardas264           Pavarde264          1    2    4    10   3    4    8    7    7    4    
Vardas265           Pavarde265          3    7    8    10   10   4    10   10   4    2    
Vardas266           Pavarde266          8    2    6    5    4    2    1    8    9    1    
Vardas267           Pavarde267          7    6    7    10   9    5    8    7    2    8    
Vardas268           Pavarde268          2    7    5    10   1    8    9    10   7    6    
Vardas269           Pavarde269          7    3    8    9    10   6    8    6    2    2    
Vardas270           Pavarde270          9    1    4    2    2    5    9    1    4    3    
Vardas271           Pavarde271          8    4    9    1    9    9    6    1    6    9    
Vardas272           Pavarde272          9    1    6    8    9    8    8    6    10   7    
Vardas273           Pavarde273          4    4    9    8    8    1    5    8    2    7    
Vardas274           Pavarde274          7    6    4    6    6    7    2    4    9    4    
Vardas275           Pavarde275          9    9    5    3    7    9    8    4    4    3    
Vardas276           Pavarde276          5    6    7    5    5    10   6    8    3    4    
Vardas277           Pavarde277          2    1    9    3    8    1    10   1    7    3    
Vardas278           Pavarde278          9    6    4    5    2    4    9    8    2    10   
Vardas279           Pavarde279          8    9    6    4    9    3    2    9    10   2    
Vardas280           Pavarde280          7    1    9    1    8    1    2    6    3    7    
Vardas281           Pavarde281          10   10   3    9    10   4    6    4    7    7    
Vardas282           Pavarde282          4    8    1    3    3    1    3    3    6    8    
Vardas283           Pavarde283          4    1    4    1    4    1    7    1    2    6    
Vardas284           Pavarde284          2    10   10   9    8    1    9    6    10   8    
Vardas285           Pavarde285          9    8    10   10   3    8    4    9    7    3    
Vardas286           Pavarde286          10   10   10   1    9    8    5    1    9    9    
Vardas287           Pavarde287          9    6    10   2    9    5    1    7    5    5    
Vardas288           Pavarde288          3    1    10   5    1    10   5    6    6    4    
Vardas289           Pavarde289          6    3    8    8    6    2    5    5    7    1    
Vardas290           Pavarde290          1    9    1    7    6    5    3    5    8    2    
Vardas291           Pavarde291          8    4    2    8    8    4    9    5    6    9    
Vardas292           Pavarde292          7    8    9    10   1    3    6    8    4    6    
Vardas293           Pavarde293          7    1    6    7    4    10   5    3    10   7    
Vardas294           Pavarde294          8    9    5    7    4    1    7    5    8    9    
Vardas295           Pavarde295          6    6    2    9    10   6    8    7    5    1    
Vardas296           Pavarde296          3    9    7    4    8    9    8    9    5    3    
Vardas297           Pavarde297          4    3    9    2    4    4    6    2    5    6    
Vardas298           Pavarde298          7    10   7    5    8    5    9    5    2    8    
Vardas299           Pavarde299          5    9    2    2    9    9    7    7    5    6    
Vardas300           Pavarde300          7    4    7    4    2    3    3    4    5    2    
Vardas301           Pavarde301          6    5    3    7    5    6    4    2    5    10   
Vardas302           Pavarde302          2    1    3    2    5    10   8    2    8    5    
Vardas303           Pavarde303          5    3    7    8    1    6    7    6    5    9    
Vardas304           Pavarde304          2    6    8    3    9    10   4    10   7    8    
Vardas305           Pavarde305          9    1    4    3    2    10   7    7    7    3    
Vardas306           Pavarde306          7    5    4    7    6    9    6    5    3    1    
Vardas307           Pavarde307          8    5    4    7    6    1    8    10   2    5    
Vardas308           Pavarde308          8    1    7    6    7    2    6    9    7    3    
Vardas309           Pavarde309          10   5    1    9    7    6    8    9    7    2    
Vardas310           Pavarde310          3    2    6    3    3    9    8    9    10   8    
Vardas311           Pavarde311          7    1    10   5    2    6    7    7    3    4    
Vardas312           Pavarde312          5    6    8    2    9    10   9    10   8    2    
Vardas313           Pavarde313          10   1    3    7    3    4    8    10   3    7    
Vardas314           Pavarde314          5    10   2    3    9    4    10   3    10   9    
Vardas315           Pavarde315          1    10   3    3    9    6    6    1    2    8    
Vardas316           Pavarde316          3    9    10   2    10   8    9    10   2    4    
Vardas317           Pavarde317          6    4    6    7    5    7    8    3    1    4    
Vardas318           Pavarde318          7    2    8    5    10   1    9    10   3    9    
Vardas319           Pavarde319          3    7    6    9    10   4    10   5    1    7    
Vardas320           Pavarde320          4    7    5    6    1    6    2    6    2    3    
Vardas321           Pavarde321          5    8    7    5    9    3    6    7    6    2    
Vardas322           Pavarde322          2    6    6    3    8    7    9    7    10   8    
Vardas323           Pavarde323          6    3    3    1    8    1    3    6    5    6    
Vardas324           Pavarde324          2    8    8    10   8    5    1    9    10   5    
Vardas325           Pavarde325          2    10   2    2    1    10   5    10   6    8    
Vardas326           Pavarde326          6    9    8    4    8    4    8    3    7    9    
Vardas327           Pavarde327          4    3    1    7    8    4    2    6    4    5    
Vardas328           Pavarde328          8    1    7    3    3    8    8    1    4    8    
Vardas329           Pavarde329          7    9    7    8    6    3    4    4    6    1    
Vardas330           Pavarde330          10   9    5    10   6    3    9    3    2    4    
Vardas331           Pavarde331          9    3    8    10   6    5    8    7    8    6    
Vardas332           Pavarde332          6    1    5    8    10   4    10   3    7    9    
Vardas333           Pavarde333          8    10   5    7    10   7    2    4    4    8    
Vardas334           Pavarde334          8    8    10   2    5    7    3    9    3    6    
Vardas335           Pavarde335          3    9    2    7    9    6    6    8    10   8    
Vardas336           Pavarde336          4    6    9    2    10   8    8    6    2    5    
Vardas337           Pavarde337          1    5    5    5    9    8    2    2    5    5    
Vardas338           Pavarde338          5    5    10   8    7    3    7    3    2    4    
Vardas339           Pavarde339          8    10   10   4    5    3    2    1    1    8    
Vardas340           Pavarde340          9    10   9    4    3    4    4    3    5    4    
Vardas341           Pavarde341          9    5    5    2    2    6    10   10   6    1    
Vardas342           Pavarde342          6    1    10   8    4    6    6    1    9    6    
Vardas343           Pavarde343          6    6    5    4    1    8    2    10   1    2    
Vardas344           Pavarde344          6    10   5    4    4    9    9    6    6    3    
Vardas345           Pavarde345          10   1    7    10   9    2    1    6    4    3    
Vardas346           Pavarde346          7    7    8    8    9    8    5    5    3    1    
Vardas347           Pavarde347          7    5    6    6    7    4    7    7    8    8    
Vardas348           Pavarde348          2    8    1    4    9    5    3    2    2    6    
Vardas349           Pavarde349          7    4    3    2    3    4    2    6    9    5    
Vardas350           Pavarde350          5    1    6    7    7    1    3    4    6    1    
Vardas351           Pavarde351          4    8    3    3    5    1    9    1    9    1    
Vardas352           Pavarde352          6    5    3    6    8    9    1    10   3    3    
Vardas353           Pavarde353          4    3    8    5    7    4    8    10   1    10   
Vardas354           Pavarde354          2    2    4    8    1    1    5    7    3    6    
Vardas355           Pavarde355          2    5    6    8    2    5    10   2    5    6    
Vardas356           Pavarde356          1    8    9    6    8    10   5    8    10   7    
Vardas357           Pavarde357          4    2    4    7    5    9    7    7    9    1    
Vardas358           Pavarde358          2    5    10   8    7    2    6    7    7    4    
Vardas359           Pavarde359          2    7    4    3    2    9    6    8    4    8    
Vardas360           Pavarde360          8    9    1    1    5    4    3    6    6    10   
Vardas361           Pavarde361          8    8    7    1    6    7    7    5    10   6    
Vardas362           Pavarde362          2    6    10   4    3    10   4    6    6    4    
Vardas363           Pavarde363          2    4    1    1    2    3    1    9    3    5    
Vardas364           Pavarde364          5    8    1    9    5    2    7    5    5    3    
Vardas365           Pavarde365          6    7    6    5    4    7    6    6    5    3    
Vardas366           Pavarde366          5    1    5    4    4    3    8    10   10   2    
Vardas367           Pavarde367          3    8    7    5    2    9    3    7    8    8    
Vardas368           Pavarde368          6    10   2    7    1    7    10   2    10   4    
Vardas369           Pavarde369          7    6    4    9    7    5    2    3    7    7    
Vardas370           Pavarde370          8    1    7    1    7    1    2    2    1    3    
Vardas371           Pavarde371          8    4    3    10   4    4    10   7    6    3    
Vardas372           Pavarde372          3    5    6    1    10   3    5    1    3    10   
Vardas373           Pavarde373          7    6    3    9    3    6    8    10   8    2    
Vardas374           Pavarde374          8    10   5    7    1    1    4    10   5    5    
Vardas375           Pavarde375          10   7    2    6    8    4    4    4    3    8    
Vardas376           Pavarde376          6    9    2    1    8    7    5    2    2    8    
Vardas377           Pavarde377          7    1    5    1    2    3    1    3    2    4    
Vardas378           Pavarde378          2    4    8    7    6    1    1    5    7    2    
Vardas379           Pavarde379          4    5    6    5    9    7    9    9    9    2    
Vardas380           Pavarde380          8    7    8    6    1    6    3    9    8    2    
Vardas381           Pavarde381          10   6    7    7    10   1    6    4    3    8    
Vardas382           Pavarde382          2    7    10   5    2    3    4    2    5    9    
Vardas383           Pavarde383          9    2    10   5    9    2    3    2    8    4    
Vardas384           Pavarde384          2    8    3    10   4    2    4    1    3    8    
Vardas385           Pavarde385          7    3    7    4    10   10   9    7    8    5    
Vardas386           Pavarde386          1    3    7    10   2    2    5    3    8    2    
Vardas387           Pavarde387          5    6    4    6    5    5    10   10   1    9    
Vardas388           Pavarde388          3    2    3    7    1    6    10   6    10   7    
Vardas389           Pavarde389          5    8    6    10   10   9    5    3    6    5    
Vardas390           Pavarde390          1    10   2    9    1    7    6    1    3    3    
Vardas391           Pavarde391          3    6    5    2    6    7    1    4    8    1    
Vardas392           Pavarde392          10   4    8    1    3    4    6    1    6    3    
Vardas393           Pavarde393          6    4    7    5    7    4    10   2    4    1    
Vardas394           Pavarde394          10   8    7    4    3    3    1    4    6    9    
Vardas395           Pavarde395          7    1    3    3    7    5    9    5    4    8    
Vardas396           Pavarde396          3    9    5    6    1    7    2    1    4    9    
Vardas397           Pavarde397          7    1    8    4    6    5    8    10   6    4    
Vardas398           Pavarde398          9    5    9    6    8    8    2    2    3    8    
Vardas399           Pavarde399          5    9    4    5    7    8    7    9    7    4    
Vardas400           Pavarde400          2    4    1    3    1    3    10   2    2    9    
Vardas401           Pavarde401          9    7    7    10   1    8    9    6    2    3    
Vardas402           Pavarde402          2    6    5    4    4    3    6    5    4    8    
Vardas403           Pavarde403          7    4    5    2    6    2    7    8    7    6    
Vardas404           Pavarde404          8    3    1    4    7    5    9    1    2    2    
Vardas405           Pavarde405          2    2    3    9    10   8    9    2    8    5    
Vardas406           Pavarde406          7    5    8    3    6    2    8    6    4    8    
Vardas407           Pavarde407          8    3    1    5    1    4    7    1    4    9    
Vardas408           Pavarde408          10   6    6    9    10   8    1    1    6    1    
