Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 
Vardas35            Pavarde35           8    1    7    10   10   8    4    6    2    10   
Vardas36            Pavarde36           2    4    8    6    1    6    3    2    4    4    
Vardas37            Pavarde37           4    3    7    1    4    7    7    10   2    8    
Vardas38            Pavarde38           3    8    4    2    9    4    1    3    1    6    
Vardas39            Pavarde39           6    8    6    10   9    1    7    10   9    8    
Vardas40            Pavarde40           2    2    8    1    9    7    6    4    7    10   
Vardas41            Pavarde41           6    9    2    4    1    4    2    7    9    2    
Vardas42            Pavarde42           4    7    3    8    1    6    1    10   8    5    
Vardas43            Pavarde43           10   8    8    2    8    6    7    10   5    5    
Vardas44            Pavarde44           5    5    4    2    1    2    8    8    7    4    
Vardas45            Pavarde45           6    1    3    10   1    5    1    7    8    7    
Vardas46            Pavarde46           1    3    10   10   5    10   8    9    10   8    
Vardas47            Pavarde47           10   5    3    1    2    5    7    1    6    10   
Vardas48            Pavarde48           2    4    6    1    9    4    9    5    2    8    
Vardas49            Pavarde49           10   5    7    1    1    4    6    9    1    8    
Vardas50            Pavarde50           9    8    5    2    1    2    2    7    5    7    
Vardas51            Pavarde51           8    1    3    9    6    2    5    5    10   8    
Vardas52            Pavarde52           7    5    7    2    3    1    1    5    4    8    
Vardas53            Pavarde53           6    5    10   7    7    6    6    6    9    1    
Vardas54            Pavarde54           5    5    5    7    6    8    10   8    2    8    
Vardas55            Pavarde55           2    2    4    6    2    10   8    10   4    5    
Vardas56            Pavarde56           2    9    1    7    2    8    2    2    1    7    
Vardas57            Pavarde57           3    8    8    2    5    8    6    2    1    3    
Vardas58            Pavarde58           7    2    1    8    8    2    5    6    7    3    
Vardas59            Pavarde59           4    2    9    7    3    8    7    1    6    10   
Vardas60            Pavarde60           6    1    9    4    7    4    5    9    8    9    
Vardas61            Pavarde61           8    6    1    3    7    7    10   2    3    4    
Vardas62            Pavarde62           8    4    6    1    1    7    8    6    9    6    
Vardas63            Pavarde63           9    10   3    7    1    7    7    1    1    6    
Vardas64            Pavarde64           9    6    1    6    7    4    4    10   10   4    
Vardas65            Pavarde65           3    4    4    6    6    8    9    1    6    5    
Vardas66            Pavarde66           3    8    7    9    3    6    2    6    7    4    
Vardas67            Pavarde67           7    1    2    3    10   1    7    2    4    6    
Vardas68            Pavarde68           10   5    1    5    8    4    2    6    7    9    
Vardas69            Pavarde69           3    10   10   6    9    6    4    4    2    3    
Vardas70            Pavarde70           1    2    3    1    1    7    3    9    2    1    
Vardas71            Pavarde71           9    8    8    6    9    3    3    7    6    1    
Vardas72            Pavarde72           1    10   3    10   7    7    9    4    7    6    
Vardas73            Pavarde73           1    4    6    10   1    2    4    3    2    2    
Vardas74            Pavarde74           10   4    10   7    8    3    5    5    2    7    
Vardas75            Pavarde75           8    1    6    9    6    3    1    5    8    2    
Vardas76            Pavarde76           4    7    2    8    10   9    7    8    6    1    
Vardas77            Pavarde77           3    7    10   6    9    4    3    9    3    6    
Vardas78            Pavarde78           6    2    10   5    9    9    2    3    6    5    
Vardas79            Pavarde79           6    5    1    5    3    6    6    3    7    4    
Vardas80            Pavarde80           5    3    8    7    10   7    2    2    4    7    
Vardas81            Pavarde81           8    9    4    5    10   5    6    4    8    10   
Vardas82            Pavarde82           6    5    8    2    1    9    5    10   6    10   
Vardas83            Pavarde83           9    6    2    6    6    8    10   9    3    3    
Vardas84            Pavarde84           3    7    4    6    4    9    3    5    5    10   
Vardas85            Pavarde85           10   1    1    10   4    10   1    5    3    8    
Vardas86            Pavarde86           9    5    4    3    10   6    3    4    10   7    
Vardas87            Pavarde87           10   1    3    3    1    9    7    5    5    2    
Vardas88            Pavarde88           5    5    9    4    6    7    5    6    5    8    
Vardas89            Pavarde89           3    2    8    7    10   9    4    7    3    3    
Vardas90            Pavarde90           9    2    1    8    8    6    3    4    7    3    
Vardas91            Pavarde91           5    1    4    5    2    7    7    10   3    10   
Vardas92            Pavarde92           3    7    6    2    9    4    4    4    3    7    
Vardas93            Pavarde93           10   10   7    9    8    7    4    5    6    2    
Vardas94            Pavarde94           3    9    8    5    7    2    7    3    4    2    
Vardas95            Pavarde95           3    8    10   6    5    1    2    1    5    3    
Vardas96            Pavarde96           9    9    2    3    3    7    6    3    9    5    
Vardas97            Pavarde97           8    8    9    5    2    3    7    6    2    3    
Vardas98            Pavarde98           9    9    7    2    4    8    9    6    6    1    
Vardas99            Pavarde99           3    4    9    9    1    8    4    8    1    8    
Vardas100           Pavarde100          1    1    5    5    10   5    5    10   9    5    
Vardas101           Pavarde101          6    5    9    6    6    1    8    2    7    7    
Vardas102           Pavarde102          5    2    4    4    3    10   7    10   2    4    
Vardas103           Pavarde103          4    10   3    1    1    3    7    9    10   1    
Vardas104           Pavarde104          6    7    10   5    2    2    6    10   7    8    
Vardas105           Pavarde105          9    10   4    9    7    7    8    5    2    8    
Vardas106           Pavarde106          9    6    10   9    5    7    2    1    6    2    
Vardas107           Pavarde107          4    5    9    4    2    2    5    3    6    6    
Vardas108           Pavarde108          2    1    8    2    10   3    10   3    10   7    
Vardas109           Pavarde109          3    2    2    9    9    4    10   6    9    7    
Vardas110           Pavarde110          6    5    7    1    1    8    1    8    8    10   
Vardas111           Pavarde111          1    2    10   4    10   3    2    10   8    9    
Vardas112           Pavarde112          6    10   10   6    2    7    9    8    9    5    
Vardas113           Pavarde113          6    7    9    5    10   9    4    9    9    3    
Vardas114           Pavarde114          10   2    2    3    6    7    7    7    9    3    
Vardas115           Pavarde115          3    9    1    4    3    4    5    7    10   10   
Vardas116           Pavarde116          2    4    10   6    2    6    1    5    1    4    
Vardas117           Pavarde117          8    9    2    3    6    8    5    4    9    7    
Vardas118           Pavarde118          8    2    4    5    8    9    2    8    7    5    
Vardas119           Pavarde119          10   9    1    6    4    10   9    7    8    5    
Vardas120           Pavarde120          7    10   2    7    3    4    5    10   5    6    
Vardas121           Pavarde121          2    9    10   2    1    4    8    7    7    10   
Vardas122           Pavarde122          5    4    10   8    2    6    9    7    1    2    
Vardas123           Pavarde123          3    10   3    5    1    6    8    2    10   6    
Vardas124           Pavarde124          5    4    10   5    8    2    8    1    7    10   
Vardas125           Pavarde125          8    10   1    5    6    8    5    6    2    3    
Vardas126           Pavarde126          1    10   6    1    10   5    7    2    4    9    
Vardas127           Pavarde127          1    2    10   7    1    10   8    4    9    3    
Vardas128           Pavarde128          2    6    9    8    10   8    6    2    9    3    
Vardas129           Pavarde129          1    5    10   10   9    8    3    6    6    5    
Vardas130           Pavarde130          10   10   8    10   7    5    9    10   7    1    
Vardas131           Pavarde131          2    2    4    3    7    2    5    2    10   1    
Vardas132           Pavarde132          5    6    7    10   7    4    8    3    5    7    
Vardas133           Pavarde133          3    1    8    7    1    9    3    8    2    10   
Vardas134           Pavarde134          6    7    8    8    4    1    8    4    9    6    
Vardas135           Pavarde135          10   9    1    9    8    6    4    7    2    8    
Vardas136           Pavarde136          9    8    2    5    1    7    8    5    3    4    
Vardas137           Pavarde137          3    4    8    5    9    3    7    9    7    3    
Vardas138           Pavarde138          9    7    6    6    2    4    5    3    4    7    
Vardas139           Pavarde139          1    8    2    3    7    1    4    7    3    8    
Vardas140           Pavarde140          8    4    2    10   10   4    2    1    4    4    
Vardas141           Pavarde141          8    10   1    3    4    8    8    2    8    9    
Vardas142           Pavarde142          9    9    2    5    10   3    6    3    8    1    
Vardas143           Pavarde143          4    3    6    2    1    1    3    1    6    9    
Vardas144           Pavarde144          8    1    10   9    8    6    6    8    5    10   
Vardas145           Pavarde145          6    9    2    2    4    5    8    5    1    10   
Vardas146           Pavarde146          4    2    9    4    2    2    4    7    4    2    
Vardas147           Pavarde147          7    6    4    8    5    8    10   7    4    7    
Vardas148           Pavarde148          3    9    9    8    9    4    7    3    3    3    
Vardas149           Pavarde149          6    3    1    8    8    2    10   10   1    1    
Vardas150           Pavarde150          3    1    3    9    9    3    2    10   5    3    
Vardas151           Pavarde151          3    1    10   6    8    1    5    6    9    6    
Vardas152           Pavarde152          6    4    5    10   2    8    4    5    2    3    
Vardas153           Pavarde153          3    3    3    9    6    5    7    9    1    7    
Vardas154           Pavarde154          8    2    7    6    9    5    7    9    5    1    
Vardas155           Pavarde155          3    8    4    5    8    3    8    9    1    7    
Vardas156           Pavarde156          3    3    5    9    10   1    10   4    7    1    
Vardas157           Pavarde157          1    1    4    1    1    4    6    6    1    3    
Vardas158           Pavarde158          9    9    4    1    3    6    9    9    4    1    
Vardas159           Pavarde159          1    9    6    2    7    8    9    8    2    4    
Vardas160           Pavarde160          2    8    4    7    8    7    6    10   9    10   
Vardas161           Pavarde161          4    2    10   3    4    9    2    3    3    2    
Vardas162           Pavarde162          2    7    4    1    3    4    6    6    8    2    
Vardas163           Pavarde163          6    3    3    6    9    7    5    4    2    1    
Vardas164           Pavarde164          6    4    9    5    4    2    4    7    3    5    
Vardas165           Pavarde165          6    10   9    6    8    5    2    2    4    5    
Vardas166           Pavarde166          3    6    6    10   1    3    6    3    5    9    
Vardas167           Pavarde167          9    2    2    8    4    7    8    10   4    8    
Vardas168           Pavarde168          3    7    4    5    6    6    1    8    10   5    
Vardas169           Pavarde169          3    8    8    9    4    8    3    3    3    8    
Vardas170           Pavarde170          8    7    2    10   2    9    7    6    6    3    
Vardas171           Pavarde171          6    1    2    8    1    8    2    8    3    7    
Vardas172           Pavarde172          8    10   5    9    4    1    10   3    6    6    
Vardas173           Pavarde173          2    10   9    2    1    8    9    6    4    8    
Vardas174           Pavarde174          7    10   10   1    7    7    5    10   4    7    
Vardas175           Pavarde175          3    7    4    1    6    2    1    4    10   7    
Vardas176           Pavarde176          10   4    1    10   4    5    7    5    6    5    
Vardas177           Pavarde177          1    8    8    2    6    6    5    6    10   5    
Vardas178           Pavarde178          8    3    7    3    5    2    4    4    7    3    
Vardas179           Pavarde179          6    9    8    2    1    4    4    5    6    8    
Vardas180           Pavarde180          5    3    7    4    4    6    8    2    7    5    
Vardas181           Pavarde181          7    3    3    3    9    8    8    2    7    7    
Vardas182           Pavarde182          4    1    6    3    4    7    5    4    4    10   
Vardas183           Pavarde183          7    2    8    9    7    4    10   8    10   1    
Vardas184           Pavarde184          6    9    8    8    7    3    1    3    8    2    
Vardas185           Pavarde185          4    6    1    5    8    7    8    8    3    1    
Vardas186           Pavarde186          3    2    10   7    4    3    9    7    2    1    
Vardas187           Pavarde187          1    3    8    3    4    3    1    8    3    9    
Vardas188           Pavarde188          10   6    7    9    3    1    10   5    7    9    
Vardas189           Pavarde189          2    5    6    6    1    1    3    3    8    9    
Vardas190           Pavarde190          1    4    5    3    10   9    8    9    5    9    
Vardas191           Pavarde191          7    1    8    9    10   10   7    7    7    6    
Vardas192           Pavarde192          6    7    10   6    9    1    10   8    4    6    
Vardas193           Pavarde193          2    9    1    7    3    10   10   6    8    4    
Vardas194           Pavarde194          10   4    7    1    2    2    7    6    4    3    
Vardas195           Pavarde195          7    5    5    1    3    5    3    8    4    1    
Vardas196           Pavarde196          2    3    3    7    2    5    6    7    3    1    
Vardas197           Pavarde197          8    8    5    10   3    7    9    5    4    3    
Vardas198           Pavarde198          2    9    6    10   6    1    7    5    4    7    
Vardas199           Pavarde199          1    7    2    7    3    9    3    2    6    8    
Vardas200           Pavarde200          5    2    10   7    7    3    4    5    5    5    
Vardas201           Pavarde201          7    7    7    3    10   9    6    9    2    7    
Vardas202           Pavarde202          3    8    8    4    5    3    6    10   5    3    
Vardas203           Pavarde203          9    5    8    10   2    3    7    6    2    6    
Vardas204           Pavarde204          3    7    8    5    8    5    7    2    5    8    
Vardas205           Pavarde205          10   2    2    1    6    4    1    3    5    4    
Vardas206           Pavarde206          7    5    7    7    6    8    7    3    1    10   
Vardas207           Pavarde207          10   9    10   5    6    6    7    3    4    4    
Vardas208           Pavarde208          2    5    4    7    8    3    7    5    5    5    
Vardas209           Pavarde209          8    5    6    6    2    6    4    4    6    2    
Vardas210           Pavarde210          8    9    7    7    7    10   6    6    1    1    
Vardas211           Pavarde211          2    4    9    2    6    9    6    4    3    4    
Vardas212           Pavarde212          9    8    4    8    6    2    7    8    8    3    
Vardas213           Pavarde213          5    4    2    6    5    3    5    9    10   7    
Vardas214           Pavarde214          3    8    5    5    8    6    3    3    8    6    
Vardas215           Pavarde215          2    6    5    7    2    1    5    8    8    10   
Vardas216           Pavarde216          10   2    3    7    3    8    4    4    7    2    
Vardas217           Pavarde217          3    1    6    1    6    2    9    4    2    4    
Vardas218           Pavarde218          5    5    6    2    4    4    2    10   10   1    
Vardas219           Pavarde219          3    8    1    3    4    6    8    1    5    9    
Vardas220           Pavarde220          4    7    3    10   1    7    7    6    6    8    
Vardas221           Pavarde221          1    4    3    10   7    9    5    2    10   6    
Vardas222           Pavarde222          9    4    6    5    9    4    10   5    8    6    
Vardas223           Pavarde223          7    9    4    3    10   3    9    6    8    6    
Vardas224           Pavarde224          2    3    10   7    7    9    3    8    7    4    
Vardas225           Pavarde225          8    2    1    10   3    5    9    6    3    4    
Vardas226           Pavarde226          9    6    2    3    6    5    2    9    9    10   
Vardas227           Pavarde227          7    3    10   6    3    9    1    10   7    6    
Vardas228           Pavarde228          9    4    2    2    1    5    10   6    8    2    
Vardas229           Pavarde229          3    8    1    7    9    7    5    6    4    6    
Vardas230           Pavarde230          1    8    2    8    3    3    4    1    2    7    
Vardas231           Pavarde231          7    10   7    9    1    4    6    1    5    3    
Vardas232           Pavarde232          3    9    5    7    3    3    10   9    2    5    
Vardas233           Pavarde233          6    8    2    3    5    1    7    1    4    4    
Vardas234           Pavarde234          7    9    3    3    5    6    4    6    3    1    
Vardas235           Pavarde235          8    10   7    3    5    5    9    7    5    4    
Vardas236           Pavarde236          8    10   3    8    1    4    1    4    1    5    
Vardas237           Pavarde237          3    6    3    9    5    10   2    1    9    4    
Vardas238           Pavarde238          2    8    9    6    6    10   2    3    2    4    
Vardas239           Pavarde239          10   4    10   9    3    4    1    8    2    8    
Vardas240           Pavarde240          8    9    8    9    9    4    7    10   2    5    
Vardas241           Pavarde241          3    6    10   3    3    5    1    10   3    6    
Vardas242           Pavarde242          4    3    9    1    3    5    5    4    1    7    
Vardas243           Pavarde243          3    5    9    8    9    5    4    6    1    8    
Vardas244           Pavarde244          4    8    6    4    5    4    4    7    3    5    
Vardas245           Pavarde245          8    4    3    7    2    8    7    1    5    7    
Vardas246           Pavarde246          10   9    7    7    5    4    7    1    7    3    
Vardas247           Pavarde247          3    8    3    1    6    2    3    5    6    5    
Vardas248           Pavarde248          3    1    1    7    10   8    5    9    5    3    
Vardas249           Pavarde249          9    7    7    9    8    5    10   3    5    3    
Vardas250           Pavarde250          8    4    2    2    10   9    7    2    9    8    
Vardas251           Pavarde251          7    1    9    4    4    3    4    6    3    9    
Vardas252           Pavarde252          7    2    8    6    10   8    10   3    7    7    
Vardas253           Pavarde253          7    1    10   6    4    7    8    4    1    4    
Vardas254           Pavarde254          8    5    9    1    7    6    5    2    7    10   
Vardas255           Pavarde255          10   2    3    3    3    3    2    10   1    4    
Vardas256           Pavarde256          10   5    10   8    4    7    2    4    3    9    
Vardas257           Pavarde257          6    5    3    4    8    2    7    1    7    3    
Vardas258           Pavarde258          5    3    7    2    4    8    4    3    1    1    
Vardas259           Pavarde259          1    2    2    5    10   4    3    4    5    10   
Vardas260           Pavarde260          4    2    5    6    5    7    10   4    1    6    
Vardas261           Pavarde261          9    7    7    1    5    4    7    7    6    7    
Vardas262           Pavarde262          3    8    1    1    5    1    7    4    10   4    
Vardas263           Pavarde263          9    7    7    4    8    9    10   2    6    5    
Vardas264           Pavarde264          2    8    3    4    7    3    2    2    7    1    
Vardas265           Pavarde265          1    10   9    7    9    2    8    8    2    9    
Vardas266           Pavarde266          10   1    6    3    4    6    2    2    2    1    
Vardas267           Pavarde267          4    4    8    2    8    4    2    8    4    4    
Vardas268           Pavarde268          3    5    4    3    2    10   4    1    2    5    
Vardas269           Pavarde269          7    6    6    2    4    4    6    4    6    10   
Vardas270           Pavarde270          9    9    8    3    10   8    8    8    5    4    
Vardas271           Pavarde271          6    3    9    4    3    3    4    5    6    4    
Vardas272           Pavarde272          7    2    4    5    8    2    1    6    10   7    
Vardas273           Pavarde273          4    9    10   9    8    7    4    9    9    8    
Vardas274           Pavarde274          1    6    3    4    1    7    10   1    5    1    
Vardas275           Pavarde275          6    4    8    8    1    10   7    5    8    3    
Vardas276           Pavarde276          7    4    6    5    1    2    4    10   10   1    
Vardas277           Pavarde277          7    8    3    5    3    10   9    10   9    2    
Vardas278           Pavarde278          8    3    10   7    3    10   4    9    2    2    
Vardas279           Pavarde279          3    1    4    9    5    6    4    10   8    2    
Vardas280           Pavarde280          3    2    6    5    10   1    7    10   8    5    
Vardas281           Pavarde281          7    10   9    5    9    9    9    8    2    5    
Vardas282           Pavarde282          2    1    2    10   1    1    2    9    9    7    
Vardas283           Pavarde283          10   2    10   4    9    7    5    2    3    5    
Vardas284           Pavarde284          9    1    4    1    7    10   3    3    10   9    
Vardas285           Pavarde285          2    1    6    1    7    6    6    5    1    1    
Vardas286           Pavarde286          4    10   10   2    1    8    6    9    6    7    
Vardas287           Pavarde287          7    2    1    9    6    9    6    3    5    9    
Vardas288           Pavarde288          9    10   8    4    9    5    4    6    4    9    
Vardas289           Pavarde289          9    10   2    2    8    2    6    4    8    3    
Vardas290           Pavarde290          4    5    9    8    7    4    10   1    6    4    
Vardas291           Pavarde291          9    2    1    7    5    8    6    9    1    7    
Vardas292           Pavarde292          3    4    4    6    9    3    9    5    2    10   
Vardas293           Pavarde293          10   5    6    1    9    10   3    8    6    10   
Vardas294           Pavarde294          1    6    6    8    7    4    5    10   4    8    
Vardas295           Pavarde295          8    8    10   8    2    3    10   4    5    2    
Vardas296           Pavarde296          7    9    8    2    7    2    1    10   5    5    
Vardas297           Pavarde297          8    4    3    1    6    5    10   2    4    8    
Vardas298           Pavarde298          6    3    3    7    2    6    5    4    6    8    
Vardas299           Pavarde299          4    8    4    4    8    6    6    6    8    2    
Vardas300           Pavarde300          4    7    4    1    9    2    5    10   9    10   
Vardas301           Pavarde301          10   6    8    10   10   4    6    5    5    6    
Vardas302           Pavarde302          7    9    2    10   10   5    10   5    4    7    
Vardas303           Pavarde303          6    8    6    4    2    7    8    4    9    1    
Vardas304           Pavarde304          1    5    5    9    5    3    4    8    7    7    
Vardas305           Pavarde305          4    9    3    2    7    7    8    5    2    8    
Vardas306           Pavarde306          10   8    8    5    10   8    8    5    3    3    
Vardas307           Pavarde307          4    5    10   2    7    1    6    4    7    6    
Vardas308           Pavarde308          1    7    10   3    2    6    1    8    3    3    
Vardas309           Pavarde309          7    3    3    10   9    4    7    10   6    7    
Vardas310           Pavarde310          6    6    10   2    9    1    1    2    6    9    
Vardas311           Pavarde311          6    9    9    9    7    8    10   7    8    8    
Vardas312           Pavarde312          2    7    8    4    9    1    3    4    6    1    
Vardas313           Pavarde313          7    9    2    2    5    8    7    6    9    4    
Vardas314           Pavarde314          6    10   2    9    5    8    6    4    8    2    
Vardas315           Pavarde315          9    2    2    5    1    8    7    10   6    6    
Vardas316           Pavarde316          10   10   7    10   4    1    6    4    7    2    
Vardas317           Pavarde317          6    2    5    9    3    2    3    1    5    10   
Vardas318           Pavarde318          6    4    10   2    1    2    1    9    7    6    
Vardas319           Pavarde319          6    9    10   1    10   5    7    9    1    10   
Vardas320           Pavarde320          6    10   3    9    8    10   3    4    8    8    
Vardas321           Pavarde321          4    9    3    3    9    2    6    3    8    4    
Vardas322           Pavarde322          9    3    5    6    5    1    2    8    10   3    
Vardas323           Pavarde323          10   6    7    6    6    9    5    3    1    9    
Vardas324           Pavarde324          5    2    9    5    9    7    2    10   8    3    
Vardas325           Pavarde325          8    9    2    2    4    6    9    2    3    3    
Vardas326           Pavarde326          5    4    5    7    3    9    5    4    9    8    
Vardas327           Pavarde327          3    5    9    2    2    2    9    7    3    7    
Vardas328           Pavarde328          2    3    5    10   3    8    2    2    5    2    
Vardas329           Pavarde329          3    3    1    3    8    8    6    2    2    9    
Vardas330           Pavarde330          5    9    6    2    1    2    9    9    5    2    
Vardas331           Pavarde331          8    2    7    7    1    4    8    5    7    4    
Vardas332           Pavarde332          4    1    6    4    8    9    7    10   5    7    
Vardas333           Pavarde333          1    10   8    10   8    6    7    7    10   4    
Vardas334           Pavarde334          9    9    5    9    6    1    1    1    4    1    
Vardas335           Pavarde335          4    6    9    2    2    8    3    8    4    1    
Vardas336           Pavarde336          3    7    9    3    6    6    8    7    1    10   
Vardas337           Pavarde337          4    3    6    7    6    2    6    4    9    4    
Vardas338           Pavarde338          5    3    3    7    9    1    8    5    4    4    
Vardas339           Pavarde339          3    1    7    6    10   9    7    4    6    4    
Vardas340           Pavarde340          2    9    9    5    10   10   9    1    10   9    
Vardas341           Pavarde341          2    5    4    10   10   3    7    8    10   6    
Vardas342           Pavarde342          6    8    7    6    8    3    2    8    9    2    
Vardas343           Pavarde343          4    10   10   5    9    6    8    8    9    1    
Vardas344           Pavarde344          9    6    3    10   7    1    5    6    6    2    
Vardas345           Pavarde345          5    8    6    9    10   6    9    7    5    4    
Vardas346           Pavarde346          2    7    10   8    2    9    6    7    6    4    
Vardas347           Pavarde347          10   10   5    8    8    8    1    7    4    9    
Vardas348           Pavarde348          2    8    4    9    4    7    5    1    9    4    
Vardas349           Pavarde349          3    2    3    8    3    10   7    7    8    4    
Vardas350           Pavarde350          1    7    7    2    1    10   1    9    3    10   
Vardas351           Pavarde351          8    4    2    4    7    5    8    7    7    5    
Vardas352           Pavarde352          1    9    4    10   4    1    7    2    8    7    
Vardas353           Pavarde353          1    1    8    9    7    8    6    10   4    1    
Vardas354           Pavarde354          6    2    3    8    10   9    10   10   7    10   
Vardas355           Pavarde355          9    10   2    3    6    6    10   3    3    7    
Vardas356           Pavarde356          6    2    5    1    2    7    3    3    7    1    
Vardas357           Pavarde357          5    1    7    2    6    3    5    8    2    3    
Vardas358           Pavarde358          5    8    2    10   6    4    5    3    6    8    
Vardas359           Pavarde359          10   10   9    5    6    8    6    2    10   9    
Vardas360           Pavarde360          3    10   1    5    6    1    4    5    7    3    
Vardas361           Pavarde361          4    10   9    10   10   9    2    4    7    2    
Vardas362           Pavarde362          9    5    10   6    6    4    10   10   1    10   
Vardas363           Pavarde363          4    10   1    1    5    7    6    5    1    7    
Vardas364           Pavarde364          4    5    10   3    2    3    8    9    5    5    
Vardas365           Pavarde365          10   9    2    3    7    9    3    8    8    10   
Vardas366           Pavarde366          10   1    8    8    10   9    3    10   1    5    
Vardas367           Pavarde367          5    5    10   4    9    5    1    9    5    4    
Vardas368           Pavarde368          2    2    9    4    8    2    5    3    10   10   
Vardas369           Pavarde369          6    5    5    4    8    1    10   7    4    3    
Vardas370           Pavarde370          9    10   10   5    6    3    5    5    5    3    
Vardas371           Pavarde371          7    9    8    3    10   2    2    1    10   6    
Vardas372           Pavarde372          2    5    7    10   3    3    7    9    10   9    
Vardas373           Pavarde373          10   2    9    6    2    2    4    1    8    3    
Vardas374           Pavarde374          7    1    7    7    6    10   3    7    4    5    
Vardas375           Pavarde375          4    2    2    1    4    3    2    2    9    10   
Vardas376           Pavarde376          9    5    5    3    10   10   6    1    8    8    
Vardas377           Pavarde377          10   9    6    6    3    6    7    8    10   3    
Vardas378           Pavarde378          5    8    9    1    3    8    4    6    6    3    
Vardas379           Pavarde379          9    6    2    2    9    2    10   1    10   3    
Vardas380           Pavarde380          4    3    7    10   7    9    3    10   7    10   
Vardas381           Pavarde381          9    2    1    3    6    5    2    3    8    1    
Vardas382           Pavarde382          4    7    2    7    2    7    6    5    5    1    
Vardas383           Pavarde383          3    9    1    4    9    8    2    8    7    2    
Vardas384           Pavarde384          3    10   7    1    6    4    9    2    7    9    
Vardas385           Pavarde385          8    2    7    10   10   3    4    3    7    1    
Vardas386           Pavarde386          2    6    7    8    3    8    1    9    6    10   
Vardas387           Pavarde387          6    2    7    8    5    4    1    2    8    10   
Vardas388           Pavarde388          10   9    9    8    7    9    6    7    3    2    
Vardas389           Pavarde389          2    7    5    5    7    9    10   6    5    9    
Vardas390           Pavarde390          8    5    2    2    9    1    5    7    3    2    
Vardas391           Pavarde391          3    8    2    3    6    7    10   3    8    6    
Vardas392           Pavarde392          5    10   4    9    7    9    1    7    2    3    
Vardas393           Pavarde393          10   1    1    10   2    2    4    6    8    2    
Vardas394           Pavarde394          8    4    8    9    3    6    7    7    7    7    
Vardas395           Pavarde395          7    6    7    1    8    9    10   3    9    3    
Vardas396           Pavarde396          8    3    1    3    6    2    10   7    3    6    
Vardas397           Pavarde397          2    3    4    1    7    6    8    5    1    6    
Vardas398           Pavarde398          4    5    5    7    7    1    6    2    10   2    
Vardas399           Pavarde399          8    3    2    8    2    9    10   10   3    4    
Vardas400           Pavarde400          9    10   1    7    6    9    4    5    8    4    
Vardas401           Pavarde401          8    1    8    7    7    10   2    10   8    10   
Vardas402           Pavarde402          2    4    8    5    7    8    1    7    4    6    
Vardas403           Pavarde403          3    9    9    10   5    7    10   5    8    6    
Vardas404           Pavarde404          6    3    10   6    2    7    6    1    4    6    
Vardas405           Pavarde405          10   9    3    7    4    1    3    9    2    5    
Vardas406           Pavarde406          4    8    10   4    9    10   10   6    1    2    
Vardas407           Pavarde407          7    6    1    1    2    5    3    5    7    10   
Vardas408           Pavarde408          10   5    6    2    7    10   3    6    9    7    
