Pavarde             Vardas              Galutinis (Med.)    
Vardas4029          Pavarde4029         2.60                
Vardas4031          Pavarde4031         2.60                
Vardas763           Pavarde763          2.60                
Vardas4032          Pavarde4032         2.60                
Vardas4175          Pavarde4175         2.60                
Vardas3221          Pavarde3221         2.60                
Vardas665           Pavarde665          2.60                
Vardas7805          Pavarde7805         2.60                
Vardas2936          Pavarde2936         2.60                
Vardas8539          Pavarde8539         2.60                
Vardas8871          Pavarde8871         2.60                
Vardas4907          Pavarde4907         2.60                
Vardas8555          Pavarde8555         2.60                
Vardas283           Pavarde283          2.60                
Vardas7360          Pavarde7360         2.60                
Vardas1873          Pavarde1873         2.60                
Vardas3586          Pavarde3586         2.60                
Vardas2264          Pavarde2264         2.60                
Vardas8863          Pavarde8863         2.60                
Vardas8540          Pavarde8540         2.60                
Vardas3580          Pavarde3580         2.60                
Vardas3495          Pavarde3495         2.60                
Vardas6033          Pavarde6033         2.60                
Vardas2246          Pavarde2246         2.60                
Vardas9918          Pavarde9918         2.60                
Vardas9782          Pavarde9782         2.60                
Vardas8535          Pavarde8535         2.60                
Vardas8278          Pavarde8278         2.60                
Vardas7163          Pavarde7163         2.60                
Vardas2206          Pavarde2206         2.60                
Vardas1907          Pavarde1907         2.60                
Vardas9792          Pavarde9792         2.60                
Vardas7366          Pavarde7366         2.60                
Vardas2398          Pavarde2398         2.60                
Vardas1826          Pavarde1826         2.60                
Vardas5375          Pavarde5375         2.60                
Vardas6141          Pavarde6141         2.60                
Vardas1834          Pavarde1834         2.60                
Vardas1659          Pavarde1659         2.60                
Vardas9743          Pavarde9743         2.60                
Vardas7269          Pavarde7269         2.60                
Vardas311           Pavarde311          2.60                
Vardas1433          Pavarde1433         2.60                
Vardas5740          Pavarde5740         2.60                
Vardas8177          Pavarde8177         2.60                
Vardas5352          Pavarde5352         2.60                
Vardas8887          Pavarde8887         2.60                
Vardas1857          Pavarde1857         2.60                
Vardas303           Pavarde303          2.60                
Vardas9940          Pavarde9940         2.60                
Vardas1447          Pavarde1447         2.60                
Vardas5689          Pavarde5689         2.60                
Vardas2309          Pavarde2309         2.60                
Vardas9323          Pavarde9323         2.60                
Vardas9309          Pavarde9309         2.60                
Vardas2067          Pavarde2067         2.60                
Vardas901           Pavarde901          2.60                
Vardas1962          Pavarde1962         2.60                
Vardas7299          Pavarde7299         2.60                
Vardas5900          Pavarde5900         2.60                
Vardas5209          Pavarde5209         2.60                
Vardas3516          Pavarde3516         2.60                
Vardas1975          Pavarde1975         2.60                
Vardas3527          Pavarde3527         2.60                
Vardas5117          Pavarde5117         2.60                
Vardas3398          Pavarde3398         2.60                
Vardas196           Pavarde196          2.60                
Vardas5125          Pavarde5125         2.60                
Vardas5132          Pavarde5132         2.60                
Vardas5146          Pavarde5146         2.60                
Vardas9865          Pavarde9865         2.60                
Vardas8463          Pavarde8463         2.60                
Vardas7199          Pavarde7199         2.60                
Vardas1987          Pavarde1987         2.60                
Vardas910           Pavarde910          2.60                
Vardas966           Pavarde966          2.60                
Vardas2004          Pavarde2004         2.60                
Vardas9815          Pavarde9815         2.60                
Vardas7285          Pavarde7285         2.60                
Vardas3340          Pavarde3340         2.60                
Vardas9797          Pavarde9797         2.60                
Vardas5760          Pavarde5760         2.60                
Vardas8750          Pavarde8750         2.60                
Vardas8510          Pavarde8510         2.60                
Vardas8830          Pavarde8830         2.60                
Vardas8322          Pavarde8322         2.60                
Vardas5011          Pavarde5011         2.60                
Vardas122           Pavarde122          2.60                
Vardas8565          Pavarde8565         2.60                
Vardas8330          Pavarde8330         2.60                
Vardas5026          Pavarde5026         2.60                
Vardas5961          Pavarde5961         2.60                
Vardas5951          Pavarde5951         2.60                
Vardas3567          Pavarde3567         2.60                
Vardas989           Pavarde989          2.60                
Vardas5778          Pavarde5778         2.60                
Vardas2115          Pavarde2115         2.60                
Vardas7291          Pavarde7291         2.60                
Vardas2101          Pavarde2101         2.60                
Vardas5591          Pavarde5591         2.60                
Vardas7973          Pavarde7973         2.60                
Vardas9211          Pavarde9211         2.60                
Vardas1337          Pavarde1337         2.60                
Vardas8688          Pavarde8688         2.60                
Vardas3650          Pavarde3650         2.60                
Vardas2555          Pavarde2555         2.60                
Vardas405           Pavarde405          2.60                
Vardas5497          Pavarde5497         2.60                
Vardas7414          Pavarde7414         2.60                
Vardas5492          Pavarde5492         2.60                
Vardas8012          Pavarde8012         2.60                
Vardas4594          Pavarde4594         2.60                
Vardas6162          Pavarde6162         2.60                
Vardas9973          Pavarde9973         2.60                
Vardas5469          Pavarde5469         2.60                
Vardas1681          Pavarde1681         2.60                
Vardas391           Pavarde391          2.60                
Vardas4660          Pavarde4660         2.60                
Vardas2505          Pavarde2505         2.60                
Vardas8039          Pavarde8039         2.60                
Vardas4678          Pavarde4678         2.60                
Vardas6242          Pavarde6242         2.60                
Vardas8660          Pavarde8660         2.60                
Vardas4494          Pavarde4494         2.60                
Vardas7932          Pavarde7932         2.60                
Vardas3443          Pavarde3443         2.60                
Vardas3449          Pavarde3449         2.60                
Vardas450           Pavarde450          2.60                
Vardas4505          Pavarde4505         2.60                
Vardas4508          Pavarde4508         2.60                
Vardas2628          Pavarde2628         2.60                
Vardas9             Pavarde9            2.60                
Vardas8990          Pavarde8990         2.60                
Vardas3663          Pavarde3663         2.60                
Vardas5593          Pavarde5593         2.60                
Vardas9276          Pavarde9276         2.60                
Vardas7966          Pavarde7966         2.60                
Vardas1753          Pavarde1753         2.60                
Vardas1330          Pavarde1330         2.60                
Vardas6348          Pavarde6348         2.60                
Vardas9667          Pavarde9667         2.60                
Vardas423           Pavarde423          2.60                
Vardas6330          Pavarde6330         2.60                
Vardas3659          Pavarde3659         2.60                
Vardas2568          Pavarde2568         2.60                
Vardas7131          Pavarde7131         2.60                
Vardas3296          Pavarde3296         2.60                
Vardas3299          Pavarde3299         2.60                
Vardas7263          Pavarde7263         2.60                
Vardas2459          Pavarde2459         2.60                
Vardas856           Pavarde856          2.60                
Vardas5397          Pavarde5397         2.60                
Vardas7239          Pavarde7239         2.60                
Vardas3318          Pavarde3318         2.60                
Vardas3471          Pavarde3471         2.60                
Vardas6206          Pavarde6206         2.60                
Vardas850           Pavarde850          2.60                
Vardas8063          Pavarde8063         2.60                
Vardas2474          Pavarde2474         2.60                
Vardas372           Pavarde372          2.60                
Vardas1816          Pavarde1816         2.60                
Vardas343           Pavarde343          2.60                
Vardas4764          Pavarde4764         2.60                
Vardas5607          Pavarde5607         2.60                
Vardas2400          Pavarde2400         2.60                
Vardas1018          Pavarde1018         2.60                
Vardas6164          Pavarde6164         2.60                
Vardas1370          Pavarde1370         2.60                
Vardas4744          Pavarde4744         2.60                
Vardas4745          Pavarde4745         2.60                
Vardas954           Pavarde954          2.60                
Vardas6190          Pavarde6190         2.60                
Vardas5605          Pavarde5605         2.60                
Vardas5509          Pavarde5509         2.80                
Vardas9118          Pavarde9118         2.80                
Vardas1737          Pavarde1737         2.80                
Vardas945           Pavarde945          2.80                
Vardas5807          Pavarde5807         2.80                
Vardas3066          Pavarde3066         2.80                
Vardas8770          Pavarde8770         2.80                
Vardas4010          Pavarde4010         2.80                
Vardas3823          Pavarde3823         2.80                
Vardas3890          Pavarde3890         2.80                
Vardas5247          Pavarde5247         2.80                
Vardas1083          Pavarde1083         2.80                
Vardas6818          Pavarde6818         2.80                
Vardas6937          Pavarde6937         2.80                
Vardas789           Pavarde789          2.80                
Vardas3820          Pavarde3820         2.80                
Vardas5529          Pavarde5529         2.80                
Vardas1584          Pavarde1584         2.80                
Vardas5819          Pavarde5819         2.80                
Vardas788           Pavarde788          2.80                
Vardas9445          Pavarde9445         2.80                
Vardas7619          Pavarde7619         2.80                
Vardas1677          Pavarde1677         2.80                
Vardas1892          Pavarde1892         2.80                
Vardas3035          Pavarde3035         2.80                
Vardas9928          Pavarde9928         2.80                
Vardas1127          Pavarde1127         2.80                
Vardas3101          Pavarde3101         2.80                
Vardas1776          Pavarde1776         2.80                
Vardas3189          Pavarde3189         2.80                
Vardas1886          Pavarde1886         2.80                
Vardas5317          Pavarde5317         2.80                
Vardas8694          Pavarde8694         2.80                
Vardas5328          Pavarde5328         2.80                
Vardas3865          Pavarde3865         2.80                
Vardas3973          Pavarde3973         2.80                
Vardas3514          Pavarde3514         2.80                
Vardas3985          Pavarde3985         2.80                
Vardas3776          Pavarde3776         2.80                
Vardas7623          Pavarde7623         2.80                
Vardas6917          Pavarde6917         2.80                
Vardas9462          Pavarde9462         2.80                
Vardas1102          Pavarde1102         2.80                
Vardas7290          Pavarde7290         2.80                
Vardas5504          Pavarde5504         2.80                
Vardas9474          Pavarde9474         2.80                
Vardas7240          Pavarde7240         2.80                
Vardas5568          Pavarde5568         2.80                
Vardas3831          Pavarde3831         2.80                
Vardas5783          Pavarde5783         2.80                
Vardas8754          Pavarde8754         2.80                
Vardas9730          Pavarde9730         2.80                
Vardas1271          Pavarde1271         2.80                
Vardas9217          Pavarde9217         2.80                
Vardas4690          Pavarde4690         2.80                
Vardas853           Pavarde853          2.80                
Vardas6202          Pavarde6202         2.80                
Vardas6554          Pavarde6554         2.80                
Vardas2455          Pavarde2455         2.80                
Vardas2441          Pavarde2441         2.80                
Vardas2764          Pavarde2764         2.80                
Vardas4303          Pavarde4303         2.80                
Vardas6179          Pavarde6179         2.80                
Vardas4787          Pavarde4787         2.80                
Vardas9041          Pavarde9041         2.80                
Vardas9692          Pavarde9692         2.80                
Vardas6589          Pavarde6589         2.80                
Vardas2368          Pavarde2368         2.80                
Vardas6612          Pavarde6612         2.80                
Vardas9333          Pavarde9333         2.80                
Vardas6617          Pavarde6617         2.80                
Vardas1430          Pavarde1430         2.80                
Vardas6121          Pavarde6121         2.80                
Vardas2804          Pavarde2804         2.80                
Vardas6628          Pavarde6628         2.80                
Vardas155           Pavarde155          2.80                
Vardas7148          Pavarde7148         2.80                
Vardas8882          Pavarde8882         2.80                
Vardas4564          Pavarde4564         2.80                
Vardas1306          Pavarde1306         2.80                
Vardas2656          Pavarde2656         2.80                
Vardas1299          Pavarde1299         2.80                
Vardas3263          Pavarde3263         2.80                
Vardas4478          Pavarde4478         2.80                
