Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Eg.  
Vardas51            Pavarde51           3    2    4    5    2    7    2    2    5    7    10   
Vardas52            Pavarde52           5    8    9    8    1    2    4    9    10   10   3    
Vardas53            Pavarde53           1    1    7    9    4    2    5    1    8    9    5    
Vardas54            Pavarde54           9    5    1    8    2    3    5    7    1    4    1    
Vardas55            Pavarde55           8    8    8    2    7    5    7    3    2    10   3    
Vardas56            Pavarde56           7    5    7    10   2    8    10   9    8    10   8    
Vardas57            Pavarde57           6    2    2    8    4    1    9    5    4    3    3    
Vardas58            Pavarde58           7    3    4    6    1    5    7    8    9    1    9    
Vardas59            Pavarde59           10   2    3    10   7    9    10   9    4    3    1    
Vardas60            Pavarde60           3    5    10   5    3    4    6    2    6    8    3    
Vardas61            Pavarde61           8    8    2    2    5    5    8    10   4    5    6    
Vardas62            Pavarde62           4    1    7    9    10   9    10   9    9    6    8    
Vardas63            Pavarde63           9    2    10   7    7    10   4    9    9    4    1    
Vardas64            Pavarde64           4    7    7    9    3    4    9    10   7    7    9    
Vardas65            Pavarde65           9    4    5    5    8    5    5    3    4    7    4    
Vardas66            Pavarde66           6    8    2    4    2    6    2    8    1    6    6    
Vardas67            Pavarde67           10   10   2    10   3    8    7    1    7    4    9    
Vardas68            Pavarde68           6    9    10   9    5    5    1    1    8    9    4    
Vardas69            Pavarde69           5    8    5    2    6    2    1    10   10   9    7    
Vardas70            Pavarde70           4    5    7    4    1    1    10   1    7    1    8    
Vardas71            Pavarde71           8    10   3    3    2    6    4    6    9    2    1    
Vardas72            Pavarde72           2    5    3    6    5    8    2    2    5    7    6    
Vardas73            Pavarde73           1    7    9    8    2    7    9    6    8    5    4    
Vardas74            Pavarde74           3    1    1    1    6    1    7    7    4    3    1    
Vardas75            Pavarde75           7    3    10   9    5    5    9    1    5    10   8    
Vardas76            Pavarde76           9    2    7    4    5    3    5    10   10   8    9    
Vardas77            Pavarde77           7    7    8    7    4    10   1    7    2    2    10   
Vardas78            Pavarde78           8    2    1    8    5    6    10   9    10   3    8    
Vardas79            Pavarde79           3    9    5    6    6    4    1    5    7    6    5    
Vardas80            Pavarde80           6    9    1    4    10   6    9    2    2    7    7    
Vardas81            Pavarde81           6    10   1    2    2    9    4    9    10   5    7    
Vardas82            Pavarde82           4    5    5    8    10   8    1    7    8    5    10   
Vardas83            Pavarde83           1    5    5    7    1    3    9    1    2    8    7    
Vardas84            Pavarde84           5    6    8    6    9    7    6    5    6    2    8    
Vardas85            Pavarde85           10   5    10   6    8    8    1    2    10   10   7    
Vardas86            Pavarde86           7    7    3    6    8    8    8    9    4    10   5    
Vardas87            Pavarde87           1    4    5    3    8    7    10   2    10   5    6    
Vardas88            Pavarde88           3    3    2    2    8    4    7    7    10   4    4    
Vardas89            Pavarde89           4    3    2    8    3    1    1    7    1    4    8    
Vardas90            Pavarde90           1    10   2    5    5    2    5    2    1    6    6    
Vardas91            Pavarde91           5    7    1    6    10   5    9    2    4    9    9    
Vardas92            Pavarde92           2    9    9    8    5    9    6    6    8    3    7    
Vardas93            Pavarde93           9    6    3    10   6    6    9    2    5    2    5    
Vardas94            Pavarde94           9    2    5    1    1    9    9    9    2    5    10   
Vardas95            Pavarde95           4    5    1    8    9    3    8    2    5    9    10   
Vardas96            Pavarde96           2    1    2    3    3    5    4    1    2    4    2    
Vardas97            Pavarde97           8    5    8    1    2    8    7    9    8    9    1    
Vardas98            Pavarde98           8    7    3    8    6    7    4    5    7    5    3    
Vardas99            Pavarde99           4    1    10   3    6    4    8    4    9    8    10   
Vardas100           Pavarde100          6    8    9    3    3    6    2    8    2    7    5    
Vardas101           Pavarde101          1    5    9    7    7    9    8    7    3    2    7    
Vardas102           Pavarde102          9    2    9    5    3    5    1    2    5    7    1    
Vardas103           Pavarde103          8    5    7    10   6    3    3    5    3    6    9    
Vardas104           Pavarde104          6    6    6    6    4    10   3    5    10   6    4    
Vardas105           Pavarde105          1    3    10   1    6    3    9    9    7    6    9    
Vardas106           Pavarde106          9    9    6    7    6    6    9    5    5    1    7    
Vardas107           Pavarde107          2    6    9    6    1    7    9    4    3    8    9    
Vardas108           Pavarde108          2    1    9    1    3    7    6    2    10   3    1    
Vardas109           Pavarde109          7    5    1    3    10   1    4    8    3    2    2    
Vardas110           Pavarde110          8    9    2    6    6    1    9    5    10   6    8    
Vardas111           Pavarde111          4    7    4    4    9    9    2    9    8    8    5    
Vardas112           Pavarde112          4    10   7    3    6    1    9    2    8    2    2    
Vardas113           Pavarde113          8    4    6    2    7    10   3    10   9    10   2    
Vardas114           Pavarde114          5    4    1    7    8    4    3    5    6    10   4    
Vardas115           Pavarde115          9    8    1    3    1    4    6    5    10   5    6    
Vardas116           Pavarde116          3    1    6    2    8    1    7    8    6    6    1    
Vardas117           Pavarde117          10   5    10   6    3    2    3    10   10   6    3    
Vardas118           Pavarde118          2    8    6    2    5    3    4    7    3    3    6    
Vardas119           Pavarde119          4    7    8    5    10   2    9    1    4    9    8    
Vardas120           Pavarde120          4    3    8    7    4    8    3    1    3    9    5    
Vardas121           Pavarde121          9    8    4    10   10   8    9    6    6    10   8    
Vardas122           Pavarde122          7    5    10   5    5    3    6    4    2    8    5    
Vardas123           Pavarde123          2    1    2    10   1    5    10   5    9    7    6    
Vardas124           Pavarde124          1    4    5    6    6    2    10   6    5    8    6    
Vardas125           Pavarde125          6    8    6    4    7    1    4    6    10   3    10   
Vardas126           Pavarde126          10   4    3    7    8    5    1    9    4    9    9    
Vardas127           Pavarde127          3    9    3    1    2    7    9    5    4    8    4    
Vardas128           Pavarde128          2    10   8    5    10   5    8    1    3    4    9    
Vardas129           Pavarde129          10   2    4    4    4    9    6    8    9    3    3    
Vardas130           Pavarde130          8    9    1    6    10   9    4    8    1    5    5    
Vardas131           Pavarde131          2    8    1    10   3    7    2    9    6    3    10   
Vardas132           Pavarde132          3    7    3    6    8    7    3    3    2    5    1    
Vardas133           Pavarde133          1    7    8    7    2    2    9    2    9    10   10   
Vardas134           Pavarde134          10   8    1    2    9    1    7    1    9    6    1    
Vardas135           Pavarde135          3    8    8    6    8    4    9    7    6    7    3    
Vardas136           Pavarde136          3    3    7    2    4    10   6    4    6    3    9    
Vardas137           Pavarde137          6    4    7    4    10   3    2    9    1    5    4    
Vardas138           Pavarde138          9    10   4    6    3    3    5    2    1    3    8    
Vardas139           Pavarde139          8    9    6    5    4    7    8    5    10   9    5    
Vardas140           Pavarde140          10   8    6    9    3    7    10   10   4    9    7    
Vardas141           Pavarde141          2    9    6    10   7    4    2    10   1    6    5    
Vardas142           Pavarde142          5    7    3    3    6    9    4    9    8    9    8    
Vardas143           Pavarde143          2    5    9    6    2    8    5    5    10   2    4    
Vardas144           Pavarde144          5    10   1    5    8    1    4    8    6    3    6    
Vardas145           Pavarde145          7    7    8    7    1    4    6    6    5    7    6    
Vardas146           Pavarde146          6    2    10   10   3    10   2    2    9    3    5    
Vardas147           Pavarde147          3    10   9    6    5    8    7    5    3    9    6    
Vardas148           Pavarde148          3    1    2    10   2    2    7    6    2    8    9    
Vardas149           Pavarde149          6    6    6    1    10   2    4    6    3    1    10   
Vardas150           Pavarde150          5    9    2    1    9    10   3    9    9    5    3    
Vardas151           Pavarde151          8    1    2    3    10   9    8    4    3    7    4    
Vardas152           Pavarde152          8    3    10   1    5    4    2    2    2    3    4    
Vardas153           Pavarde153          3    9    2    3    5    4    8    3    10   7    5    
Vardas154           Pavarde154          10   9    2    9    10   7    6    4    10   10   6    
Vardas155           Pavarde155          4    9    5    8    9    9    1    2    3    8    1    
Vardas156           Pavarde156          8    10   1    8    9    9    1    9    3    9    2    
Vardas157           Pavarde157          2    6    3    5    1    4    10   3    5    4    3    
Vardas158           Pavarde158          6    10   1    3    10   2    6    7    7    5    4    
Vardas159           Pavarde159          7    5    10   8    2    2    7    6    6    3    2    
Vardas160           Pavarde160          7    6    10   9    9    3    4    10   6    10   4    
Vardas161           Pavarde161          7    5    9    1    4    3    1    4    2    4    8    
Vardas162           Pavarde162          3    5    8    8    2    10   6    6    10   1    8    
Vardas163           Pavarde163          4    4    7    7    7    7    2    5    6    4    7    
Vardas164           Pavarde164          1    6    5    3    2    8    3    7    4    2    3    
Vardas165           Pavarde165          3    10   7    1    5    6    10   6    1    1    1    
Vardas166           Pavarde166          8    5    8    7    3    1    6    6    2    4    10   
Vardas167           Pavarde167          8    2    7    8    8    5    8    5    8    8    9    
Vardas168           Pavarde168          9    8    7    2    1    9    7    3    5    9    4    
Vardas169           Pavarde169          2    5    6    6    1    10   6    6    4    5    6    
Vardas170           Pavarde170          10   3    6    4    2    9    1    8    8    8    6    
Vardas171           Pavarde171          8    4    1    3    5    9    3    2    4    8    5    
Vardas172           Pavarde172          7    3    9    8    9    7    10   1    8    1    1    
Vardas173           Pavarde173          9    1    9    1    9    5    10   8    4    10   7    
Vardas174           Pavarde174          4    9    2    1    2    9    1    6    3    8    2    
Vardas175           Pavarde175          4    10   3    8    2    6    8    2    1    5    10   
Vardas176           Pavarde176          7    7    2    4    7    6    3    9    8    2    5    
Vardas177           Pavarde177          8    8    6    8    8    7    7    4    5    8    7    
Vardas178           Pavarde178          10   1    2    5    5    9    8    9    8    10   3    
Vardas179           Pavarde179          5    6    2    10   2    9    10   6    7    10   6    
Vardas180           Pavarde180          1    8    10   10   2    8    1    1    4    6    7    
Vardas181           Pavarde181          9    6    4    7    2    3    8    6    1    6    9    
Vardas182           Pavarde182          3    8    9    6    4    1    3    3    1    4    10   
Vardas183           Pavarde183          2    5    5    7    2    5    4    6    9    3    1    
Vardas184           Pavarde184          9    2    1    4    6    4    4    8    3    2    4    
Vardas185           Pavarde185          6    6    8    8    8    3    3    3    3    7    3    
Vardas186           Pavarde186          7    8    10   8    6    6    9    6    10   2    5    
Vardas187           Pavarde187          2    5    4    6    8    2    5    5    3    9    8    
Vardas188           Pavarde188          6    4    5    5    6    3    3    6    9    9    7    
Vardas189           Pavarde189          3    4    4    6    7    8    7    4    10   9    3    
Vardas190           Pavarde190          4    2    8    3    10   8    1    2    2    7    7    
Vardas191           Pavarde191          10   6    9    9    10   7    9    8    2    7    5    
Vardas192           Pavarde192          5    5    3    6    4    10   2    7    7    10   10   
Vardas193           Pavarde193          6    1    3    8    10   8    6    9    9    4    10   
Vardas194           Pavarde194          4    5    7    5    7    8    8    5    5    10   2    
Vardas195           Pavarde195          3    9    10   2    3    10   2    2    9    8    4    
Vardas196           Pavarde196          4    6    2    7    2    10   8    5    1    2    9    
Vardas197           Pavarde197          3    2    10   4    5    10   7    3    4    8    10   
Vardas198           Pavarde198          6    7    5    5    10   1    6    6    8    7    9    
Vardas199           Pavarde199          3    4    5    10   4    5    5    1    10   4    7    
Vardas200           Pavarde200          6    6    7    10   7    7    3    8    2    6    8    
Vardas201           Pavarde201          1    8    3    9    2    2    6    3    4    1    9    
Vardas202           Pavarde202          4    9    9    9    2    9    9    9    3    3    10   
Vardas203           Pavarde203          10   6    4    7    7    3    4    5    2    2    4    
Vardas204           Pavarde204          9    4    3    3    7    10   7    6    7    1    6    
Vardas205           Pavarde205          4    10   4    10   6    4    4    4    2    2    4    
Vardas206           Pavarde206          2    5    6    1    6    3    7    8    6    9    7    
Vardas207           Pavarde207          10   5    9    4    5    1    2    4    3    3    8    
Vardas208           Pavarde208          5    1    1    8    1    6    1    10   5    5    3    
Vardas209           Pavarde209          3    9    3    10   7    1    2    4    9    9    3    
Vardas210           Pavarde210          4    7    10   3    7    6    7    5    1    9    2    
Vardas211           Pavarde211          8    3    3    5    7    6    3    4    7    1    2    
Vardas212           Pavarde212          10   8    5    6    9    7    4    9    6    2    10   
Vardas213           Pavarde213          1    5    6    1    6    1    5    9    3    7    4    
Vardas214           Pavarde214          8    6    10   5    7    4    8    5    2    3    4    
Vardas215           Pavarde215          2    3    5    3    8    10   8    7    6    8    3    
Vardas216           Pavarde216          2    8    7    4    9    5    8    6    2    10   8    
Vardas217           Pavarde217          4    7    5    9    6    2    8    10   6    6    9    
Vardas218           Pavarde218          3    6    10   3    2    7    3    8    4    7    9    
Vardas219           Pavarde219          9    5    2    3    5    3    6    6    9    9    6    
Vardas220           Pavarde220          10   2    10   3    3    8    9    1    3    4    4    
Vardas221           Pavarde221          1    5    1    2    7    5    10   5    10   2    1    
Vardas222           Pavarde222          3    3    2    7    1    1    7    10   3    5    1    
Vardas223           Pavarde223          6    3    3    6    8    3    3    4    5    9    4    
Vardas224           Pavarde224          5    9    1    1    1    6    9    9    4    1    3    
Vardas225           Pavarde225          6    10   7    6    3    6    1    5    2    7    8    
Vardas226           Pavarde226          9    5    10   4    10   7    8    1    5    8    9    
Vardas227           Pavarde227          1    8    8    4    10   6    10   8    6    6    10   
Vardas228           Pavarde228          4    7    1    6    4    4    5    4    1    3    8    
Vardas229           Pavarde229          7    5    1    7    1    10   3    2    4    5    7    
Vardas230           Pavarde230          3    10   4    2    8    7    4    1    8    1    4    
Vardas231           Pavarde231          6    3    2    2    10   10   6    10   9    10   5    
Vardas232           Pavarde232          6    4    6    7    6    9    9    2    3    10   1    
Vardas233           Pavarde233          5    6    2    7    4    6    2    3    9    8    9    
Vardas234           Pavarde234          4    8    1    2    9    9    1    7    9    5    6    
Vardas235           Pavarde235          6    5    2    1    10   6    2    5    1    10   8    
Vardas236           Pavarde236          4    6    1    10   5    6    7    9    2    5    1    
Vardas237           Pavarde237          3    4    4    8    3    10   8    3    8    4    7    
Vardas238           Pavarde238          8    4    5    1    1    9    4    3    8    5    2    
Vardas239           Pavarde239          8    2    9    7    3    10   4    1    2    8    1    
Vardas240           Pavarde240          8    9    1    4    2    2    1    5    1    7    3    
Vardas241           Pavarde241          9    8    3    6    1    10   3    9    4    10   2    
Vardas242           Pavarde242          1    7    3    2    4    3    1    4    3    10   3    
Vardas243           Pavarde243          4    6    4    4    2    5    10   4    1    10   3    
Vardas244           Pavarde244          5    8    9    10   1    5    3    10   3    7    6    
Vardas245           Pavarde245          1    7    4    9    2    4    8    8    9    8    9    
Vardas246           Pavarde246          9    10   7    4    9    5    10   2    1    3    3    
Vardas247           Pavarde247          6    6    3    3    5    5    1    1    2    9    1    
Vardas248           Pavarde248          1    1    7    5    8    1    6    10   5    5    5    
Vardas249           Pavarde249          5    6    1    5    10   3    7    5    6    8    4    
Vardas250           Pavarde250          9    8    5    2    1    7    2    4    2    8    6    
Vardas251           Pavarde251          10   7    8    6    8    5    5    3    10   10   7    
Vardas252           Pavarde252          2    2    9    6    10   8    10   2    8    3    7    
Vardas253           Pavarde253          7    7    9    10   3    7    1    9    5    9    9    
Vardas254           Pavarde254          1    7    9    7    2    4    10   1    9    6    4    
Vardas255           Pavarde255          3    9    1    6    2    9    9    4    2    4    9    
Vardas256           Pavarde256          8    8    9    6    2    1    4    7    2    9    10   
Vardas257           Pavarde257          6    8    10   3    8    4    7    6    4    3    9    
Vardas258           Pavarde258          5    3    2    4    8    3    2    5    5    3    10   
Vardas259           Pavarde259          8    8    10   4    9    9    6    9    5    3    3    
Vardas260           Pavarde260          2    7    7    2    7    4    2    3    10   7    5    
Vardas261           Pavarde261          9    3    6    2    5    9    2    7    4    6    8    
Vardas262           Pavarde262          9    9    10   4    8    6    1    3    10   3    9    
Vardas263           Pavarde263          9    10   8    10   9    9    4    1    5    3    10   
Vardas264           Pavarde264          6    4    6    2    8    3    2    8    3    2    8    
Vardas265           Pavarde265          3    6    1    3    9    10   4    5    3    3    9    
Vardas266           Pavarde266          6    6    5    9    2    8    3    1    6    2    6    
Vardas267           Pavarde267          9    10   6    6    2    6    5    2    7    9    4    
Vardas268           Pavarde268          2    2    7    2    3    1    1    3    9    4    6    
Vardas269           Pavarde269          2    4    8    5    7    3    5    2    9    10   6    
Vardas270           Pavarde270          3    5    6    9    4    3    10   10   7    9    5    
Vardas271           Pavarde271          7    2    8    3    10   7    3    3    5    3    5    
Vardas272           Pavarde272          3    10   5    5    4    9    2    4    7    1    9    
Vardas273           Pavarde273          9    7    3    3    10   4    1    3    7    7    8    
Vardas274           Pavarde274          4    2    5    8    7    10   6    4    5    5    9    
Vardas275           Pavarde275          5    4    3    5    5    3    3    3    5    8    9    
Vardas276           Pavarde276          6    5    1    5    1    7    5    2    7    3    9    
Vardas277           Pavarde277          8    8    5    2    4    5    3    7    2    7    2    
Vardas278           Pavarde278          3    5    3    3    8    4    9    9    7    7    9    
Vardas279           Pavarde279          6    1    8    5    3    6    4    8    6    7    3    
Vardas280           Pavarde280          8    8    2    9    1    4    7    8    2    3    10   
Vardas281           Pavarde281          5    5    1    2    9    6    2    2    1    9    8    
Vardas282           Pavarde282          1    7    1    9    6    2    9    1    4    3    10   
Vardas283           Pavarde283          10   7    10   9    7    7    3    7    4    3    4    
Vardas284           Pavarde284          3    7    7    3    1    6    1    2    1    6    7    
Vardas285           Pavarde285          2    1    9    3    8    5    10   6    2    6    5    
Vardas286           Pavarde286          5    7    4    1    7    8    10   8    4    10   4    
Vardas287           Pavarde287          2    10   5    7    7    2    6    6    2    5    4    
Vardas288           Pavarde288          9    8    3    6    7    1    2    9    3    2    8    
Vardas289           Pavarde289          10   1    9    1    10   3    4    5    2    9    7    
Vardas290           Pavarde290          10   3    9    9    9    8    1    7    7    2    6    
Vardas291           Pavarde291          3    10   3    10   1    8    10   1    10   4    8    
Vardas292           Pavarde292          4    7    5    4    7    6    9    10   7    3    3    
Vardas293           Pavarde293          9    6    4    3    8    9    6    7    8    3    9    
Vardas294           Pavarde294          7    7    3    9    10   1    3    3    2    1    6    
Vardas295           Pavarde295          7    3    6    4    4    7    6    6    4    2    5    
Vardas296           Pavarde296          2    6    6    2    7    7    9    2    8    4    4    
Vardas297           Pavarde297          7    6    10   4    10   8    3    10   8    2    5    
Vardas298           Pavarde298          5    2    1    5    3    7    2    9    5    6    4    
Vardas299           Pavarde299          6    5    9    10   9    8    6    9    8    2    7    
Vardas300           Pavarde300          6    6    4    2    7    4    1    1    7    10   10   
Vardas301           Pavarde301          9    7    6    8    7    1    6    6    10   3    7    
Vardas302           Pavarde302          10   5    9    4    6    1    5    1    6    9    6    
Vardas303           Pavarde303          1    4    10   7    4    10   10   6    4    8    3    
Vardas304           Pavarde304          9    2    8    3    9    10   7    3    8    10   8    
Vardas305           Pavarde305          9    8    3    6    9    6    3    10   10   5    4    
Vardas306           Pavarde306          2    8    8    9    5    6    6    3    2    10   4    
Vardas307           Pavarde307          10   9    9    7    4    5    8    4    5    9    3    
Vardas308           Pavarde308          6    1    7    4    1    2    4    8    6    2    6    
Vardas309           Pavarde309          6    5    5    10   3    6    4    7    1    4    10   
Vardas310           Pavarde310          9    5    3    8    6    10   8    4    3    1    4    
Vardas311           Pavarde311          2    3    5    1    6    4    5    8    10   9    6    
Vardas312           Pavarde312          4    4    7    8    4    8    9    10   10   10   6    
Vardas313           Pavarde313          4    2    5    1    9    5    4    8    6    1    7    
Vardas314           Pavarde314          4    8    5    1    10   6    2    8    9    1    3    
Vardas315           Pavarde315          4    10   7    5    9    6    7    6    7    2    8    
Vardas316           Pavarde316          3    3    7    5    2    4    7    6    10   7    3    
Vardas317           Pavarde317          4    10   7    7    5    5    2    1    4    1    7    
Vardas318           Pavarde318          6    10   3    2    5    9    5    10   2    9    1    
Vardas319           Pavarde319          7    8    9    10   7    6    3    10   8    9    8    
Vardas320           Pavarde320          5    5    4    10   4    4    4    5    5    5    8    
Vardas321           Pavarde321          10   6    6    5    5    1    10   4    7    7    2    
Vardas322           Pavarde322          6    7    3    5    4    4    6    9    8    5    3    
Vardas323           Pavarde323          10   9    2    5    4    8    4    5    4    2    1    
Vardas324           Pavarde324          5    3    2    5    7    5    9    1    8    10   7    
Vardas325           Pavarde325          3    2    10   10   2    8    9    3    7    4    7    
Vardas326           Pavarde326          7    3    5    6    7    1    1    5    3    7    7    
Vardas327           Pavarde327          9    7    9    2    3    4    8    3    8    7    7    
Vardas328           Pavarde328          6    10   6    8    3    2    4    6    5    6    8    
Vardas329           Pavarde329          8    7    10   8    7    6    9    7    9    6    9    
Vardas330           Pavarde330          6    3    10   4    3    8    8    5    5    8    8    
Vardas331           Pavarde331          7    4    1    2    4    5    2    9    4    8    7    
Vardas332           Pavarde332          4    6    2    4    10   9    4    5    8    6    5    
Vardas333           Pavarde333          10   7    4    2    1    8    1    8    7    5    7    
Vardas334           Pavarde334          10   6    2    4    10   7    7    9    1    6    1    
Vardas335           Pavarde335          2    1    10   8    3    2    3    2    1    4    10   
Vardas336           Pavarde336          4    9    9    1    7    8    10   8    6    2    10   
Vardas337           Pavarde337          4    2    7    9    9    10   7    9    10   6    3    
Vardas338           Pavarde338          4    10   8    1    6    4    8    3    1    3    5    
Vardas339           Pavarde339          9    10   3    1    5    2    3    6    2    1    4    
Vardas340           Pavarde340          5    4    6    10   3    4    7    9    4    4    1    
Vardas341           Pavarde341          6    10   8    8    8    1    4    8    8    5    4    
Vardas342           Pavarde342          8    6    9    2    10   2    3    9    10   3    8    
Vardas343           Pavarde343          5    3    9    9    7    7    6    9    2    4    7    
Vardas344           Pavarde344          5    9    1    4    1    4    8    9    9    2    1    
Vardas345           Pavarde345          8    8    7    6    8    2    4    1    1    2    9    
Vardas346           Pavarde346          1    9    3    6    10   3    6    7    9    10   10   
Vardas347           Pavarde347          2    5    4    2    10   5    5    8    2    7    1    
Vardas348           Pavarde348          4    10   4    5    6    4    5    2    4    1    2    
Vardas349           Pavarde349          10   6    1    7    6    9    5    10   6    9    8    
Vardas350           Pavarde350          5    8    10   5    6    2    7    3    6    7    9    
Vardas351           Pavarde351          6    6    3    6    4    8    10   4    5    1    6    
Vardas352           Pavarde352          2    5    2    6    7    1    5    7    4    2    3    
Vardas353           Pavarde353          7    9    3    8    6    3    8    8    5    2    5    
Vardas354           Pavarde354          6    9    1    10   10   8    3    10   5    8    10   
Vardas355           Pavarde355          1    3    1    3    8    4    7    6    2    9    1    
Vardas356           Pavarde356          2    3    1    4    1    5    5    9    1    4    5    
Vardas357           Pavarde357          6    4    8    3    10   2    8    8    10   1    9    
Vardas358           Pavarde358          8    9    4    7    6    2    9    7    6    3    10   
Vardas359           Pavarde359          6    5    8    8    2    5    9    1    6    9    6    
Vardas360           Pavarde360          2    1    3    10   2    6    2    2    4    8    9    
Vardas361           Pavarde361          7    5    10   1    5    10   8    7    7    8    4    
Vardas362           Pavarde362          10   9    4    4    10   6    2    2    1    7    2    
Vardas363           Pavarde363          2    2    2    8    7    5    9    4    3    7    3    
Vardas364           Pavarde364          10   9    7    9    8    3    10   3    4    4    6    
Vardas365           Pavarde365          1    4    4    10   3    6    2    8    8    3    2    
Vardas366           Pavarde366          1    4    9    5    5    5    3    8    3    7    6    
Vardas367           Pavarde367          4    6    1    10   1    2    4    7    5    4    10   
Vardas368           Pavarde368          9    1    5    8    9    2    8    1    1    3    2    
Vardas369           Pavarde369          9    10   10   9    4    2    5    7    8    9    5    
Vardas370           Pavarde370          6    5    7    1    1    4    6    7    2    7    8    
Vardas371           Pavarde371          3    2    5    1    2    3    6    5    5    10   4    
Vardas372           Pavarde372          1    9    7    7    9    5    8    10   9    4    1    
Vardas373           Pavarde373          8    4    7    7    5    10   6    5    8    2    6    
Vardas374           Pavarde374          7    5    1    6    1    1    8    2    4    4    3    
Vardas375           Pavarde375          1    1    4    9    5    4    8    3    6    9    2    
Vardas376           Pavarde376          4    7    4    3    4    1    9    7    8    4    2    
Vardas377           Pavarde377          8    4    4    10   9    7    8    8    5    1    7    
Vardas378           Pavarde378          5    2    4    8    3    4    2    6    3    7    3    
Vardas379           Pavarde379          2    6    7    6    2    3    7    7    9    1    8    
Vardas380           Pavarde380          4    5    9    1    5    7    4    5    6    10   5    
Vardas381           Pavarde381          5    5    9    5    6    1    7    10   8    2    1    
Vardas382           Pavarde382          5    6    9    9    3    8    5    9    4    1    8    
Vardas383           Pavarde383          6    8    9    5    5    3    9    3    8    5    1    
Vardas384           Pavarde384          5    6    8    9    1    7    4    1    8    1    3    
Vardas385           Pavarde385          2    5    10   8    2    5    3    6    10   8    2    
